chest,lung,brain,abdominal,artery,lobe,liver,abdomen
aplasia of clavicles and funnel shaped chest,"coronal view of the planning ct with fused pet for a lung cancer subject. the gtv contours generated using the rir and dir pet images are shown in red and blue, respectively. an intensity threshold equivalent to suv ≥ 2.0 was used for the pet image.",mri examination of the brain. axial flair t2 at day 5 after completing ivig,abdominal ct provides a differential of a colo-colic intussusception or volvulus.,"hlhs with restriction of the interatrial communication after second stage palliation. the stent (black arrow) is implanted into the atrial septum under fluoroscopy and transoesophageal echocardiography (star) guidance. a palmaz genesis stent (white arrow, cordis) has previously been implanted to the left pulmonary artery","huge right lobe hepatocellular carcinoma with portal vein thrombosis was found on pre-treatment computed tomography image. the tumor was occupying almost entire right lobe of the liver. initially measured tumor volume was around 3,500 ml.",grayscale ultrasound sagittal image of liver in a 37-year-old patient demonstrates a 3.2 cm hypoechoic mass in segment 6.,ultrasonograph of the distended bladder (10cm) showing opaque bodies. note the uniformly distributed echoes resulting from cystitis. transducer was placed on the ventral abdomen in the standing position.
initial chest radiograph showing bilateral infiltrates (arrows).,pet scan showing the right retroareolar breast mass with suv of 2.8 that was discovered while the patient was being treated for his nsclc of the lung.,coronal t2-weighted image shows the cyst (black arrows) lying lateral to the cervical os (block arrow). the fetal brain (asterisk) is seen within the uterus.,abdominal radiograph.,follow-up cta obtained 6 months after surgery demonstrated resolution of extrinsic compression of hypoplastic left vertebral artery with good blood flow,"axial ct scan after i.v. contrast enhancement – arterial phase (30 s), showing large mass compressing the right lobe of the liver, right retroperitoneal space involvement and compression of ivc. image displays malignant adrenal tumor, histologically confirmed as adrenocortical carcinoma.",liver ct after treatment.,abdomen ct-scan displaying a vegetation on the posterolateral bladder wall (arrow).
chest computed tomography shows centrilobular ground-glass nodules (arrows) and consolidations with a heterogeneous aspect (open arrows).,high-resolution computed tomography image. image compatible with nonspecific interstitial pneumonia showing ground-glass opacities in both lung bases.,computed tomography-scan of the brain revealed fahr syndrome with a bilateral and symmetric striatopallidal calcifications,"abdominal mri showing a well-defined encapsulated mass, in the left paraspinal region at the l5 level along the posterior side of left psoas muscle.","vascular echocardiogram of the right brachial artery. an aneurysm was present on the central side of the dialysis puncture site. the aneurysm had irregular wall thickening (red arrows), and a protruding site was mobile owing to vascular pulsation (red arrowheads). this was in clear contrast to the wall thickening and arterial thrombus associated with arterial sclerosis, and it was believed to be a plaque (verruca) associated with an infection.","axial fluid-attenuated inversion recovery mri image demonstrating tumor-related infiltration involving both temporal lobes (short arrow), and the substantia nigra (long arrow).",56-year-old man with intrahepatic biliary intraductal oncocytic papillary carcinoma. mri of the liver demonstrates the soft tissue component is of intermediate signal on t1 and hypointense on t2 and has negligible enhancement. note the aneurysmally dilated cystic component communicating with adjacent dilated intrahepatic biliary tree (black arrow),axial ct scan. the grossly thickened loop of jejunum on the left side of the abdomen is typical of intramural haematoma.
chest x-ray on admission showed bilateral pulmonary edema.,"contrast enhanced computed tomography revealing crazy paving patterned diffuse ground glass attenuation with inter/intralobular septal thickening, representing diffuse alveolar damage, both lungs (black arrow).",mri t2w image of brain showing a csf intensity cystic lesion in right temporoparietal region,sagittal abdominal computed tomography scan with an unclear mass in the omental fat with obstruction of the small intestine (white arrow).,cannula noted in right external iliac artery.,ct scan (abdomen) (before treatment) showing status post left lower quadrant colostomy. left lower quadrant colostomy and large peristomal hernia containing fat and small bowel lobes are seen. moderate inflammatory changes are again seen surrounding the sigmoid colon suggestive of diverticulitis. interval increase in the size of the fluid collection or abscess formation at or adjacent to the sigmoid colon since the previous exam measures approximately 5.5 × 4.3 cm (arrow). there is either extension or additional collection also seen to the left of the colon measuring 3.6 × 3.2 cm (arrow). there are mildly enlarged mesenteric lymph nodes seen at the left lower abdomen.,coronal ct scan image shows the interposition of the colon between right hemidiaphragm and the liver (red arrows).,"ct scan demonstrated a typical inhomogeneous target-shaped mass in the right abdomen (arrow). the lead point was an intraluminal fatty mass measuring 2 cm, suggestive of intussusception caused by lipoma (arrowhead)."
postero-anterior radiograph of the chest shows interval placement of bilateral chest thoracostomy tubes with complete re-expansion of the left lung and partial (∼70%) re-expansion of the right.,patient’s lung nodule at ct scan.,brain ct as a neonate. symmetrical calcifications in the periventricular area and ventricular enlargement were found. calcifications in the corpus callosum and pyramidal tract were also found in the other slices.,postnatal ultrasound (2 months): enlarged intraabdominal cystic lesion of unknown origin measuring 10cm.,"ct image of a female of age 40 years of control group. the map displayed the diameter (white line) of the left iliac vein tunnel (ivt, big red arrow) 6.20 mm, which was measured on the central cross-sectional ct image of the left iliac vein stretching across the anterospine from right to left. the anterior border of the ivt is the posterior wall of the right iliac artery (the front small red arrow); the posterior border is the anterior margin of the vertebral body (the rear small red arrow).",high-resolution sonography at mid neck level on transverse section shows enlarged thyroid with isthmus (arrow) overlying the trachea (arrow head) and multiple echogenic nodules in both lobes,coronal section of the liver using a curvilinear probe showing a haemangioma under the dome of the diaphragm (white arrow heads) and its mirror artifact above the diaphragm (black arrow heads). notice that the mirror artifact is more blurred and distorted than the image of the original hemangioma,initial mri before start of therapy demonstrating a large tumor of the upper left abdomen infiltrating the mesenterium and the omentum majus.
chest posteroanterior identifies a bone density round calcification.,"56-year-old man with idiopathic pneumonia syndrome. high-resolution ct scan at level of lower lung zones shows extensive ""crazy-paving"" pattern involving both lower lobes, lingula and middle lobe, in association with areas of air-space consolidation.",computed tomography scan of the brain axial sections show right arachnoid cyst,ct scan of the abdomen and pelvis with abdominal ascites.,computed tomography angiography sagittal view shows right aberrant subclavian artery posterior compression to the esophagus at level of t4 vertebra and minimal compression in the posterior trachea,coronal mri section revealing a 4.3 × 3.5 cm soft tissue mass at the level of the left thyroid lobe.,computed tomography scan of the liver showing the liver abscess.,ct abdomen showing thrombus in ivc
"x-ray abdomen and chest antero-posterior view after removal of both ureteric catheters and insertion of bilateral pigtail catheters as percutaneous nephrostomies (arrow head: pigtail catheter in left renal pelvis, thick arrow: pigtail catheter in right renal pelvis)",pet scan showing masses with increase opacity and increase uptake in lung.,"mri brain, age 56 days. axial section showing small dysplastic vermis, large rounded superior cerebellar peduncles and absence of decussation of white matter pathways forming the ‘molar tooth’ malformation","a ct scan of the abdomen with an oral contrast agent, demonstrating marked intra-abdominal lymph leakage postoperatively with organ compression and abdominal compartment syndrome.",the angle between basilar artery and p1 segment of pca. pca : posterior cerebral artery.,left lower lobe bronchus after expulsion of aspirated whistle,multiple collaterals around gallbladder and hepatoduodenal ligament with dilated intrahepatic biliary radicals (portal biliopathy) with normal liver and no ascites,abdomen tc scan before starting sorafenib. non-homogenic solid nodular lesion on the resection margin of the hepatectomy.
"chest ct showing bilateral, diffuse parenchymal infiltrates, consistent with pneumonitis, without hilar lymphadenopathy.",axial ct scan shows a large heterogeneous hypodense lobulated peripheral lung mass showing few calcific foci and few small areas of cavitation. mass is invading the adjacent pleura,sagittal t1-weighted image showing chiari ii malformation; the features include elongated brainstem that extends into the cervical spinal canal; (a). downward herniation of the cerebellar tonsils into cervical spinal canal; (b). small fourth ventricle; (c). aqueductal stenosios; (d). tectal beaking; (e). large massa intermedia; (f). there is also thin corpus callosum (g),"hydronephrosis on abdominal ct, coronal plane.",single lead ballon guided cardioversion catheter introduced via the right cubital vein. the proximal shock array contacts the basal right atrial wall and the distal shock array is positioned in the left pulmonary artery,portal venous phase ct showing a filling defect within the intrahepatic ivc from a tumor thrombus extending from the right lobe tumor (white arrow),t1 hypointense liver lesion on mri.,ctof abdomen showed a gassy tumor with a gas-fluid level.
chest x-ray taken ten minutes after partial decompression of left sided tension pneumothorax (patient still requiring positive pressure ventilation).,"whole body scintigraphy showing iodine avid bilateral lungs, neck, and right femur uptake.",mri brain scan.,"whole body positron emission tomography-computed tomography (pet-ct) scan highlighted the abdominal wall mass (thick arrow) as well as left inguinal, paratracheal, and hilar (thin arrow) lymphadenopathy. however, no other lesions were identified.","preoperative cta showing left kidney with preexistent occluded renal artery and contrast-enhancement in the cortical area (cortical rim sign, small arrow) with distal renal artery perfusion suggesting collateral (perirenal) flow (large arrow).","noncontrast axial computed tomographic image initially identifying a giant, approximately 10 cm hyperdense partially calcified mass encompassing the entire frontal lobe.",ct showing liver metastasis in segment vi,"ct abdomen & pelvis- coronal view.gastroduodenal pneumotosis mainly in the posterior gastric wall, and 1st and 2nd part of the duodenum. there is a moderately distended air-fluid filled stomach and duodenum to the midline third part of the duodenum. right and left intrahepatic portal venous pneumatosis is observed. there is small volume intraluminal pneumoatosis in the medial perigastric area."
erect chest x-ray a few hours later demonstrated contrast medium extravasation accompanied with large pleural effusion.,a 52-year-old man with non-small cell lung cancer. metastatic disease to both kidneys manifests as poorly enhancing masses on ct imaging with intravenous contrast (arrows). note also the additional metastatic lesion to the left adrenal gland (arrowhead).,high attenuating lesion (aneurysm) of left internal carotid artery on plain ct-scan brain,"abdominal ultrasonography showing a solid, heterogeneous retroperitoneal mass with multiple foci of variable size, occupying most of abdominal and pelvic cavity.","modified apical 2-chamber view, middle segment of the inferior wall on color doppler examination. small (arch-shaped) arteries branching of the right posterior descending (rpd) coronary artery are seen.",flair image showing high signal on bilateral temporal lobe,ultrasonography showed a well-defined 3.5 × 2.6 cm high-echoic mass in the medial segment of the liver.,noncontrast ct of patient's abdomen showing a right sided grynfeltt-lesshaft hernia. arrow: adipose tissue herniating through defect at the upper lumbar triangle. line with square endpoints: hernia sac diameter measurement.
chest x-ray. chest x-ray revealing solid tissue intensity shades in the left lung field.,wedge-shaped subpleural ggo in both lung apices. ct pulmonary angiogram in the revealed right pulmonary artery thrombosis,brain computed tomography scan showing improved ventricular dilatation after ventriculoperitoneal shunting.,a cta showed mesenteric artery thrombosis and abdominal aorta calcification in 2008.,"pre-ovulatory, triple layer endometrium with good spiral artery flow",atrophy of left lobe in type iiib hilar cholangiocarcinoma. note the enhancement of lateral segment in arterial phase (black single arrow) due to portal vein occlusion,a contrast extravasation is shown from a mass like lesion on the lateral border of the liver (arrow) and hemoperitoneum.,cross section ct scan of the abdomen revealing hemoperitoneum and a ruptured spleen.
preoperative chest x-ray,"whole body image showing radiotracer distribution in different regions of interests (roi) over brain, lungs, kidneys and liver","magnetic resonance imaging brain (sagittal section) showing midline occipital encephalocele, tractional beaking of pontomedullary region of brainstem (arrow) and dysplastic cerebellum",image presentation of heterogeneous upper abdominal mass,completion angiography of the left axillary artery showed good flow through the stent graft and complete exclusion of the aneurysm.,"multivoxel 1h-mrs (by ge signa lx 1,5 t): axial t2-weighted images (te 96.4 ms), multivoxel localization at the level of left frontal lobe. 1h-mrs spectra show an abnormal peak of lipids.",postoperative computed tomographic scan of the abdomen demonstrates a fluid collection on the right side of the liver. note the dilatation of the stomach due to gastric outlet obstruction.,ct scan of the abdomen demonstrating a fistula between the upper pole of the right kidney and the duodenum.
computed tomographic scan of the chest (axial image) shows air in the mediastinum (pneumomediastinum) (arrow).,"b‐lines are bright echogenic lines originating at the pleural surface and passing to the deepest portions of the image. they move with pleural movement and are thought to be caused by reverberation where there is an interface between interstitial / alveolar fluid or fibrosis and air. in pulmonary oedema these become numerous. they have been described as spot lights, torch beams and even lung rockets shining from the pleural surface deep into the image. counting the number of b‐lines is used to determine the presence of pulmonary oedema; however in the presence of confounding pathology such as fibrosis, contusion, or lymphangitis, with similar appearance the diagnosis must correlate clinically.",mri brain revealing a large 7.1×3.8 cm fairly homogeneous enhancing relatively well-defined mass centered in the posterior calvarium with intracranial extension into the extra-axial space as well as extracranial extension. the mass abuts the superior sagittal sinus. there is a similar appearing 3.7×4.5 cm fairly homogeneous relatively well-defined enhancing mass centered in the left anterior lateral calvarium also extending into the extra-axial space as well as extracranially.,abdominal x-ray.,angiography of critical limb ischemia model (ligation and excision of left femoral and iliac artery). new collateral vessels were generated 30 days after injecting mscs.,"axial t2 fluid-attenuated inversion recovery (flair) magnetic resonance sequence of the patient. the image shows bilateral temporal lobe atrophy (blue arrows), and hypointensity in the globus pallidus (red arrows) and thalamus (green arrows).",a 61-year-old man with shock after liver biopsy. contrast enhanced computed tomography of the abdomen demonstrates massive hemoperitoneum and active contrast extravasation from the anterior surface of segment 5 of the liver (arrow).,ct scan abdomen reconstruction showing right sided hydroureteronephrosis with right urinary extravasation from the ureter and thickening of the right lateral wall of the bladder
"transverse ct of the chest showing an aortic saccular aneurysm, protruding downward, in the aortopulmonary window.",computed tomography scan (ge medical system. lightspeed 16) of the thorax showing features of lobar pneumonia. in this image right lung lower lobe soft tissue density shadow can be seen.,brain mri t2-wi axial plane of a patient with ephedrone encephalopathy: symmetrically low intensity signal in globi pallidi.,"computed tomography images of the bmpm: the arrows indicate the incisional hernia (a), multicystic mass surrounded to umbilicus (b), and intraabdominal extension (c).","contrast-enhanced coronal t1a image. erosion of the sellar floor by the lesion is observed, and the mass extends into the sphenoid sinus, infiltrates into the left cavernous sinuses, compresses the optic chiasm, and surrounds the carotid artery","a 61-year-old man with papillary thyroid carcinoma in both thyroid lobes and bilateral nodal metastases of varying morphological appearance and size. coronal enhanced ct image shows the primary tumor as a large heterogeneous mass in the inferior left thyroid lobe with areas of coarse and eggshell calcifications (arrowheads). there is a large heterogeneous left level iii nodal metastasis (asterisk). the inferior right lobe of the thyroid has a subtle low attenuation region (black arrow), which was also malignant on the total thyroidectomy specimen. there are small cystic nodal metastases in the right level vi and level ii nodal groups (curved arrows) of different morphology from the large left neck mass.","ct scan 9 months after resection revealing staple line at the area of transection of the middle and left hepatic veins, and hypertrophied right posterior section of the liver.",mri scan of abdomen obtained on the 12th day of disease: edematous jejunal wall and distension with air fluid level in caecum (arrows).
"on april 8th 2013, the chest radiograph showed the rapid progression of the lung lesions, with two pulmonary diffuse ground glass opacities.",collapse with consolidation of the left lung,"brain areas involved in the pc1 and pc2 superimposed on the canonical single-subject mr image of spm2 in a sagittal plane showing the areas involved in pc1 (cuneus: red – negative loading; anterior portion of superior frontal gyrus: green – positive loading) and in pc2 (precuneus, thalamus: blue – negative loading; pre-sma, hypothalamus: yellow – positive expression loading).","abdominal magnetic resonance imaging (mri) shows a pancreas head only, with nonvisualization of the body and tail.",insufficient coverage of a small internal carotid artery (ica) paraophthalmic aneurysm owing to an incomplete expansion of the comaneci device possibly caused by the highly curved segment of the ica; the treatment strategy was changed to stent-assisted coiling; right anterior-oblique view.,computed tomography of the abdomen on admission. traumatic laceration of the liver: parenchymal disruption involving less than 50% of the right hepatic lobe with an intrahepatic hematoma,computed tomographic scan shows a metastatic liver tumour (arrow),mucinous cystic neoplasm (arrow) on mri abdomen.
chest x-ray from case 1 showing a large right-sided pneumothorax with an orogastric tube (arrows) malpositioned in the right hemithorax.,axial ct image showing lung tissue consolidation due to the aspiration pneumonia.,axial plain ct brain demonstrating evidence of hyperdensity (60 hu suggestive of blood products) involving the left cerebellar hemisphere extending into the left middle cerebellar peduncle. there is no extension into the brainstem or cerebellopontine cistern,"lower abdominal aortography shows non-visualization of left common iliac artery to left common femoral artery by complete obstruction (single arrow), stent state of right external iliac artery and non-visualization of right internal iliac artery by obstruction (double arrows). and enlargement of both lumbar arteries are also noted.",tortion of the distal pancreas surrounding the splenic vessels. notice an enhanced splenic artery after intravenous contrast injection. p=pancreas,"a 48-year-old man with dendriform pulmonary ossification. hrct image shows branching and punctate calcifications (arrowheads) in the right middle and lower lobes. there is a background of mild reticulation and ground-glass opacity, reflecting underlying mild interstitial fibrosis",bronchial isomerisma coronal t1-weighted image demonstrating bronchial isomerism with bronchial angles consistent with right isomerism. there is also a midline liver noted in this slice.,ct abdomen axial view showing thickening of the small bowel wall as indicated by the arrows. march 2011.
preoperative chest computed tomography. subpleural and peribronchovascular reticulation with macrocystic honeycombing is visible in both lungs.,lesions resolved obviously after smoking cessation compared with the same lung area.,: ct brain day 0 with arrow indicating hypodense frontal lesion (resolving) and rim of high density lining the cortex of the more superficial part of the left frontal lobe.,upper abdominal sonographic finding: 9 cm heterogeneous echogenic mass lesion showing mild blood flow in the omentum of the right upper abdominal quadrant.,final appearance of external iliac artery,contrast-enhanced magnetic resonance image of the left ear of a patient with an abscess (arrow) due to actinomyces spp. earlobe infection following acupuncture.,"axial view of ct abdomen/pelvis with iv contrast demonstrating a bulky circumferential irregular thickening and enhancement of the gastric wall at the level of the pylorus involving the duodenal bulb. additionally, there is a chronic ellipsoid pocket of fluid associated with the peritoneal lining posterior to the liver that was noted to represent an old abscess or hematoma cavity.",further ct scan of the abdomen showing gall stone in the small bowel lumen with no signs of bowel obstruction. the bowel wall showing proximal edema to the gall stone.
chest computed tomography on admission. a few thinwalled bullae with air-fluid levels in both lungs and pneumomediastinum,thoracic computed tomography (ct) of the lungs showing diffuse ground glass opacities and bilateral consolidations in the upper pulmonary lobe.,brain computed tomography. the scan revealed hyperdensity of the lentiform and caudate nuclei that was more prominent on the right side.,abdominal magnetic resonance imaging shows a pedunculated mass at the level of ampulla with mild enhancement (double arrow).,ct image of subocclusive thrombus of right renal artery (right arrow) showing renal hypoperfusion (diminished cortical contrast enhancement). left arrow shows a floating trhrombus in left renal artery.,contrast enhanced computed tomography scan neck showing an enhancing nodule with internal calcification at the junction of right lobe of thyroid with isthmus,a longitudinal image of the liver (head to the left) with the cat in dorsal recumbency and imaged from the right cranio‐ventral abdomen (8 mhz). the image demonstrates a distended gallbladder that is oval in shape with thickened and hyperechoic walls.,computed tomographic (ct) scan of the abdomen at diagnosis showing a large right renal mass
chest radiograph showing malposition of catheter,control x-ray shows partial regression of inflammatory lesions in both lungs.,the sagittal noncontrast t1 weighted magnetic resonance image of the brain shows an enlarged sella turcica and a nonvisualized gland.,computed tomography shows a “whirl” sign (arrow) and distended cecum (arrowhead) in the upper left abdominal cavity and small bowel,"mp-rage image slice with reference contours. the reference region was confined by an roi (yellow circle) centered at the carotid artery with a diameter of 4 cm, while the iph detection area was confined by the out wall boundary (blue). the three references were 1) mean intensity of scm (sternocleidomastoid muscle, pink), 2) mean intensity of adjacent muscle (green) isointense with the normal carotid artery wall, and 3) median intensity within the roi","transection of the pituitary stalk caused by a fall in a 17-year-old male. the signs and symptoms of di developed two months after trauma. sagittal t1-weighted mr image (600/15) reveals diffuse atrophy of the pituitary gland (arrows). the high signal intensity normally seen in the posterior lobe is absent, and the normal pituitary stalk is not seen. two foci of high signal intensity anterior and posterior to the pituitary fossa represent the fat marrow of the sella turcica.",a 45-year-old man with mucinous appendiceal adenocarcinoma. axial noncontrast ct image demonstrates scalloping (arrowheads) of the liver margin by peritoneal implants and a fine calcified septation (arrow) within the low-density ascites.,sagittal plane computer tomography scan of the abdomen demonstrating a short segment small bowel intussusceptions without evidence of obstruction
chest computed tomography demonstrating severe pulmonary oedema,"example of a reconstruction from dual-energy ct in a patient presenting with an exacerbation of chronic obstructive pulmonary disease. axial image with superimposed color-coded iodine distribution shows the lung perfusion and a defect (blue-black) caused by an occluding embolus in the right descending artery (arrow). (courtesy of christian fink, md, munich, germany).",computed tomography scan of brain showing normal signals of brain parenchyma including occipitopareital region,ultrasonography of the right upper abdominal quadrant revealed the typical ultrasonographic “target sign” of ileocolic intussusception after recurrent symptoms in the reported patient.,retinal detachment with phpv. b-scan reveals a funnelshaped rd (arrowhead) along with a persistent central hyaloid artery (arrow) in a 1-year-old child,non-contrast computed tomography showing globe rupture,"ct image showing liver iron overload.notes: axial nonenhanced ct image showing the liver with higher attenuation (*). a region of interest was placed in the liver and spleen green (circles). attenuation of the liver and spleen were 78 hu and 44 hu, respectively. a hepatic attenuation higher than 71 hu has a specificity of 96% for iron overload. this is in contrast with the fatty liver seen in figure 10.abbreviations: ct, computed tomography; hu, hounsfield units.",ct saggital abdomen/pelvis with contrast. disruption of vesicourethral anastomosis with bladder displaced superiorly.
computed tomographic scan of the thorax (ct thorax) revealing soft tissue mass in the right anterior chest wall with rib destruction and lytic lesions in lateral end of right clavicle and posterior end of fifth rib suggestive of metastaic deposits,ct shows patchy areas in the left lung and patchy areas in the middle lobe of the right lung.,"ct axial image of brain at the level of midbrain (arrow) showing hypodensity consistent with acute brainstem infarction. ct, computed tomography.","angiography of the abdominal aorta. the celiac and sma branches are identified, as well as a narrow-angle formed between the abdominal aorta and the sma branch.",angiogram of right iliac arteries – partial recanalisation of the right internal iliac artery,ct abdomen (transverse section) showing a large caudate lobe liver mass involving the gall bladder and common bile duct at porta with ihbr dilatation,six similar-sized region of interest (roi) areas (1 mm2) are shown for measuring the ct perfusion bf of target hcc (roi 1–3) and the adjacent non-tumor liver parenchyma (roi 4–6).,abdomen computed tomography shows a well-demarcated lesion with low density and without enhancement after contrast administration.
ct chest showing right lower lobe pulmonary nodule (arrow).,high resolution computed tomographic scan before lung transplantation,"t1w sagittal mri of a five year old chihuahua without sm with a framework of 19 measurements (11 lines and 8 angles) with three ratios used to ‘map’ the hindbrain and craniocervical junction.key: (a) dorsum of spheno-occipital synchondrosis. (b) basion of basioccipital bone. (c) rostral edge of the dorsal lamina of the atlas. (d) junction between the supraoccipital bone and the occipital crest. (e) most dorsal point of intersection of the cerebellum with the occipital lobe circle. (f) centre of’ best fit’ occipital lobe circle placed on the cranial baseline (abi) and extending to encompass the occipital lobes. the centre of the circle is f and its diameter (f-diam) indicates the maximun height of the caudal calvaria dorsal to the spheno-occipital synchondrosis. (g) point at which the optic nerve deviates into the optic canal. (i) intersection point of the extended cranial baseline (ab) caudally with extended line dc ventrally to form angle 3. this indicates the relative positions of the supra and basioccipital bones to the atlas. (j) most rostral aspect of the dens of the axis bone. (k) extended line from point b along the best fit line of the ventral medulla oblongata to where it changes angle to the spinal cord (degree of medullary kinking). 8 angles measured are (1) afg, (2) fac, (3) dib, (4) jcb (5) aeb (6) ebd (7) bdi (8) dbk. * trait used in previous gb study [9].",abdominal ultrasonogram showing gallbladder wall thickening with hyperechoic material inside.,entrapped 6 french pigtail catheter via right radial access [a]; judkins right 6 french catheter engaging the left main coronary artery via the right femoral approach [b].,"computed tomography image disclosing diffuse airspace disease involving all lobes, with bilateral ground-glass opacities.",injected computerized tomography scan (postoperative month 10) showing local recurrence of liver sarcoma.,"a 71 year old female with sclerosing mesenteritis. (presented as case) there is diffuse increased density in the small bowel mesentery anteriorly in the upper abdomen (arrow). there is also involvement of the greater omentum. no capsule or enlarged lymphnodes are present. small amounts of ascites is seen in the lateral colonic gutters (small arrows, fig. 3) in the small pelvis (fig. 4) there is increased density in the mesentery to the sigmoid colon (arrow)"
a 48-year-old man with rcc of the right kidney. coronal reformatted contrast-enhanced ct image of the abdomen reveals a large right renal mass (asterisk) with contiguous invasion of the right renal vein. the suprarenal ivc is expanded and shows a contiguous enhancing tumor thrombus (arrow). the infrarenal ivc (double-lined arrow) is normal in calibre but shows a bland non-enhancing thrombus due to stasis. note the enlarged aortocaval lymph node (arrowhead). there were also enlarged paratracheal nodes (not shown) on the ct scan of the chest. ultrasound-guided biopsy of the right renal mass revealed type 2 papillary rcc. endobronchial fine-needle aspiration of the paratracheal nodes demonstrated metastasis.,contrast-enhanced computed tomography of the thorax (axial cut) showing the tumor in the intermediate bronchus of the right lung,an axial computed tomography image of the brain. asterixes indicate the scattered localized air collections in the parenchyma of the brain.,castleman disease. abdominal ct scan at level of lower pole of left kidney (white open arrow) shows heterogeneously enhanced retroperitoneal mass (black open arrow) with multiple hypodense areas and peripherally located calcifications (solid arrows).,atherosclerotic plaque in left anterior descending artery,t1 lava flex breath hold magnetic resonance imaging (axial)t1 lava flex breath hold magnetic resonance imaging (mri) of abdomen axial view demonstrates diffuse t1 hypointense signal through the right hepatic lobe with central areas of t1 hyperintensity (arrow). these findings represent central necrosis and hemorrhage.,"postoperative recurrence after liver-preserving surgery. a 38 year-old female received laparoscopic cystic fenestration for intrahepatic biliary cystadenoma. four months after the operation, tumor recurrence was documented by ct. the high density objects beside the cystic tumor were hemoclips used to secure blood vessels",axial cect section of the upper abdomen showing multiple splenunculi (arrow) in the normal location of the spleen
chest ct of lesion. chest ct showing osteolytic lesion of d11 eroding anterior cortex and superior endplate and involving superior vertebral body.,"interstitial syndrome and lung rockets. this figure presents most of the criteria of the b-line (the elementary sign). the b-line is defined using seven criteria, three of which are always present: a comet-tail artefact; arising from the pleural line; moving in concert with lung sliding (when lung sliding is present). the other four criteria are almost always present: long; well-defined; erasing a-lines; hyperechoic. this definition works in all situations and avoids confusion with other comet-tail artefacts that are not b-lines. the resulting sign, lung rockets, indicates that more than two b-lines are visible between two ribs. three or four b-lines make the pattern called septal rockets and correlate with kerley’s lines (subpleural interlobular septa). five or more (the maximum seems to be 10) make a pattern called ground-glass rockets, as they correlate with ground-glass lesions. it is easy to count here six b-lines, a pattern correlating with ground-glass lesions on computed tomography. lung rockets indicate interstitial syndrome.",a computed tomography scan at admission showing mild brain edema.,case 2—abdominal ct with pneumoperitoneum.,"baseline digital subtraction angiography of the internal carotid artery. a tentorial dural arteriovenous fistula (tdavf) was fed by the tentorial branch of the meningohypophyseal trunk (arrow), which drained directly into the dilated venous pouch (asterisk) at the vein of galen. the fistulous connection drained into the straight sinus (arrowheads).",bilateral upper lobe progressive massive fibrosis from a 68 year old male who worked as a fetler in foundry for more than 30 years,ct of the abdomen (axial section) showing a loop of colon (arrow) between the liver (asterisk) and the right hemidiaphragm.,coronal view arterial phase ct abdomen. filling defect in main smv (long arrow) and large amount of intraperitoneal blood.
chest x-ray showed an abnormal shadow in the left lung field (arrow).,"left lateral radiograph of the lung of case 2, first day of admission to hospital. the radiograph reveals marked increased attenuation of the ventral part of the right caudal lung lobe and lobus accessorius, and moderate increased attenuation of the right middle lunglobe, with air bronchograms (white arrows).","a 73-year-old male patient (case 1) with spontaneous, simultaneous bithalamic hemorrhage. brain computed tomography shows bilateral thalamic hemorrhage with intraventricular hemorrhage in the lateral ventricles.","transabdominal ultrasound: open bladder neck, sagittal view (circle).","coronary in double outlet right ventricle. three-dimensional balanced steady-state-free-precession sequence demonstrating left anterior descending (lad) artery crossing the right ventricular outflow tract (rvot). this is an important finding to plan accurately the appropriate intervention. abbreviations: mpa, main pulmonary artery; rpa, right pulmonary artery; lpa, left pulmonary artery.","ultrasonography of cervical region. in this case, the thyroid gland (arrows indicating the right and left lobes) presents with much reduced dimensions and increased echogenicity.","a computed tomography scan obtained two weeks after radiofrequency ablation shows that the previously ablated area has become hypodense with area formation, which was identified as a liver abscess (arrow).",x-ray abdomen showing dilated small and large gut loops.
preoperative chest x-ray,ct-scan of the thorax showing an enhancing mass lesion in the right upper lobe with central and peripheral necrosis and multiple irregularly contoured hyperdensities over both lungs.,brain magnetic resonance imaging (mri) showing long t2 signal in the saddle area in a 45-year-old man hospitalized due to headache and vision disorder.,abdominal ct showing right adrenal swollen hypodense lesion (arrow).,"dense mca sign.on transverse ct image, left mca appears hyperdense due to thrombus (arrow). mca = middle cerebral artery",aortogram in lateral view showed a large aortopulmonary collateral supplying the left lower lobe,unenhanced ct scan showed low density area of 1 cm in diameter in the segment 3 of the liver (arrow). contrast-enhanced ct scan during arterial phase showed minimally peripheral ring enhancement. no lymphadenopathy or hepatosplenomegaly was observed.,barium follow-through shows the entire dilated small bowel loop aggregated and deviated to left side of abdomen. there was no ulcerative change or obstructive material in the lumen of the bowel and normal peristalsis. a trace of barium in the ascending colon suggested little continuity from the small bowel to the colon.
