x-ray and chest,x-ray and brain,x-ray and abdominal,x-ray and coronal,x-ray and artery,x-ray and lobe,x-ray and tumor,x-ray and liver
,,abdominal x-ray showing sbo.,,,,,
chest x-ray,,,,,,,
chest x-ray showing cardiomegaly with bilateral pulmonary congestion.,,,,,,,
11/1/14 chest x-ray showing bilateral interstitial infiltrate and left base atelectasis and pleural effusion.,,,,,,,
,,abdominal x-ray indicated loop distention.,,,,,
chest x-ray at the admission in er.evidence of large bilateral opacities.,,,,,,,
inspiratory chest x-ray showing left internal jugular central catheter in aberrant left superior pulmonary vein (arrows).,,,,,,,
chest x-ray show fixed scoliotic deformity. the major scoliosis is concentrated in the thoracic region and curves to the right.,,,,,,,
chest x-ray showing a large superior mediastinal shadow suggestive of arch aneurysm extending well into neck with extreme tracheal deviation.,,,,,,,
chest x-ray on presentation showing bilateral lower lobe consolidations.,,,,,,,
chest x-ray demonstrating nearly complete resolution of previously noted air space disease in left upper zone.,,,,,,,
"chest x-ray at admission shows right pneumothorax, pneumomediastinum, subcutaneous emphysema and fracture of the acromial end of the clavicle",,,,,,,
chest x-ray on initial presentation.,,,,,,,
portable chest x-ray showing looping of the guidewire a. into internal jugular vein b. superior vena cava,,,,,,,
"postero-anterior chest x-ray projection where the measure of the transverse diameter of heart shadow (tdh) is reported. the measure was taken by drawing a line near the middle of the heart shadow and the spine and a line from the right border to that line. another line from the left heart border, drawn to the middle, was added. the two lengths were added together to derive the tdh.",,,,,,,
the postoperative chest x-ray of the patient.,,,,,,,
frontal chest x-ray demonstrating no acute findings and overlying wires.,,,,,,,
chest x-ray revealing right lower lobe pneumonia,,,,,,,
chest x-ray of the same patient before discharge,,,,,,,
,,abdominal x-ray showing megacolon.,,,,,
chest x-ray of the patient at presentation showing cardiomegaly and prominent pulmonary interstitial markings,,,,,,,
chest x-ray revealed bilateral pleural effusion,,,,,,,
"portable chest x-ray on admission, with opacification of the left lung base (pleural effusion vs. consolidation), scattered density in the right lung base, and pulmonary venous congestion.",,,,,,,
,,"direct abdominal x-ray image, obtained in a standing position, showing air almost completely filling the left upper quadrant of the fundus and extending into the right upper quadrant.",,,,,
"chest x-ray pa view multiple rounded homogenous parenchymal shadows of varying size, 2–5 cm in diameter in both lung fields. some of these shadows coalesce with each other and surrounding mediastinal structures",,,,,,,
,,"abdominal x-ray showing a linear, opaque object in the lower abdomen.",,,,,
chest x-ray - a large tumorous process of the right hemithorax with mediastinal shift to the left.,,,,,,,
,,"abdominal x-ray revealed distended bowel loops, with air-fluid levels.",,,,,
preoperative chest x-ray. blue arrow: pleural effusion; red arrow: different course of the two leads through the tricuspid valve.,,,,,,,
chest x-ray showing severe kyphoscoliosis with cobb's angle of 75° and hypoplasia of the left lung. cobb's angle is derived by drawing intersecting perpendicular lines from the superior surface of the superior end vertebra and from the inferior surface of the inferior end vertebra. the angle of deviation of these perpendicular lines from the straight line is the cobb's angle,,,,,,,
portable chest x-ray. showing elevation of right dome of the diaphragm. there is atherosclerotic calcification of aortic arch. the cardiac silhouette is within normal limits.,,,,,,,
"anterioposterior chest radiograph on a 43-year-old man treated with highly active antiretroviral therapy for over 8 years who presented with increasing shortness of breath over the past 3 months that had suddenly worsened, prompting hospital admission. the chest x-ray shows features of pulmonary edema. subsequent investigations revealed congestive cardiomyopathy",,,,,,,
"chest x-ray shows a large consolidation with air bronchograms in the left lung, and a small area of consolidation in the lower region of the right lung.",,,,,,,
chest x-ray showing left hyperlucent lung,,,,,,,
"fluid overload. a 39-year-old female with a history of transfusion after severe abdominal bleeding. ap portable chest x-ray shows an enlargement of the azygos vein (blue arrow) related to fluid overload. in the right lower basal region, a parenchymal consolidation can be seen",,,,,,,
repeat chest x-ray showing correct position of central venous catheter after correction under guidance of color doppler,,,,,,,
the chest x-ray after he presented to us showed homogenous opacities with bilateral pleural effusion,,,,,,,
x-ray chest shows spatulated ribs,,,,,,,
a chest x-ray obtained on postnatal day 37. almost complete regression of pulmonary interstitial emphysema can be seen.,,,,,,,
pleural effusion and consolidation on chest x-ray of the patient.,,,,,,,
"chest x-ray obtained immediately after weaning of extracorporeal membrane oxygenation. the outflow catheter was removed, and consolidation of the left upper lung zone was mildly improved. r, right.",,,,,,,
,,,,,,follow-up panoramic x-ray imaging at 12 months after initial diagnosis showing no significant progression of the tumor lesion.,
"initial posterior-anterior chest x-ray demonstrating a complete right-sided opacity, later diagnosed as chylothorax.",,,,,,,
initial chest x-ray showing pneumonia with pleural reaction,,,,,,,
conventional chest x-ray showing a mediastinal mass superimposed on the left heart.,,,,,,,
,,,,,,,"x-ray (rao 0°, cranial 5°): acurate ta aortic bioprosthesis immediately after full deployment, delivery system not yet retracted. pigtail catheter positioned in aortic root"
chest x-ray (cxr) showing not any pathologic sign,,,,,,,
,,,,,,,"x-ray of pelvis taken on day 487 shows vesical calculi. when this x-ray was taken, the patient had adequate control of spasticity despite the presence of bladder stones because the pump was delivering baclofen satisfactorily with the tip of catheter located at t-10 level."
chest x-ray showing deviation and compression of the trachea,,,,,,,
chest x-ray on arrival to trauma bay.,,,,,,,
chest x-ray showing extended bilateral interstitial lung densities and left lower lung field consolidation.,,,,,,,
initial chest x-ray: bilateral alveolointerstitial infiltrate.,,,,,,,
chest x-ray obtained on arrival in the emergency department.,,,,,,,
chest x-ray demonstrating perigastric and pericolic gas accumulation.,,,,,,,
chest x-ray showed cardiomegaly with pulmonary vascular blurring and redistribution.,,,,,,,
chest x-ray posterior-anterior view shows right upper lung opacity.,,,,,,,
chest x-ray 1 h after the first chest x-ray. bilateral pneumothoraces.,,,,,,,
chest x-ray for pacemaker leads check,,,,,,,
x-ray chest showing non homogenous opacities with air and fluid level over right mid zone and left mid and lower zones (arrows),,,,,,,
patient's chest x-ray demonstrating a right upper lobe consolidation.,,,,,,,
chest x-ray. thickening areas and parenchymal distortion can be seen on the left upper lobe. diffuse thickening can be seen on medial and lower lobes (arrow).,,,,,,,
,,"remaining barium in the diverticula at 48 h post procedure. after 48 h of liberal oral fluids and ambulation to minimize any risk of colonic impaction, the patient was able to tolerate clear liquids without any nausea, vomiting, or abdominal pain. this abdominal x-ray done 48 h after treatment showed barium remaining in the diverticula throughout the colon but largely cleared from the lumen proper.",,,,,
chest x-ray showing pulmonary edema,,,,,,,
,,abdominal x-ray showing the peritoneal catheter with early large knot formation.,,,,,
chest x-ray: reperfusion pulmonary oedema after pulmonary thromboendarterectomy; figure demonstrates the development of reperfusion pulmonary injury immediately after pulmonary thromboendarterectomy procedure,,,,,,,
chest x-ray—bilateral pleurisy.,,,,,,,
chest x-ray showed right upper lobe and left lower lobe opacity,,,,,,,
,,abdominal x-ray film in erythromycin group on 3rd postoperative day. all kolomarks were passed by stomach.,,,,,
plain chest x-ray film suggested cardiomegaly with increased interstitial markings and upper mediastinal lymph nodes enlargement.,,,,,,,
patient chest x-ray on admission.,,,,,,,
massive pleural effusion seen on chest x-ray at right side,,,,,,,
chest x-ray posterior–anterior view on admission (04/09/2014) showing homogenous opacity with a cavitary lesion occupying parts of left middle and lower zones,,,,,,,
chest x-ray on the day of discharge. there was a small heterogeneous opacity in the lower third of the right lung field,,,,,,,
"chest x-ray film. chest x-ray images showing cardiac dilatation with a cardiothoracic ratio of 55%, enlarged pulmonary shadow and enlargement of the left second and fourth aortic arches.",,,,,,,
x-ray chest pa view. a homogeneous opacity in the right middle and lower zone with shift of the mediastinum to the right side along with scoliosis.,,,,,,,
a chest x-ray showing correct endotracheal tube placement and no acute lung pathology.,,,,,,,
chest x-ray showing acute respiratory distress syndrome in patient with scrub typhus,,,,,,,
erect chest x-ray confirming perforation following withdrawal of the nasogastric tube,,,,,,,
,,abdominal x-ray showing colonic dilatation,,,,,
chest x-ray showing right sided pleural effusion.,,,,,,,
"right ventricle lead in left main pulmonary artery. 73-year-old male with a dual-chamber pacemaker. chest x-ray pa view shows the right ventricle lead is misplaced (black arrowhead), taking a “swan ganz”-like course and ending in the left main pulmonary artery instead of the right ventricle apex. right atrium lead is correctly placed at the right atrial appendage (black arrow).",,,,,,,
lateral chest x-ray. dislocated sternal segments.,,,,,,,
chest x-ray on admission showing an unusual air fluid level in the lower chest.,,,,,,,
chest x-ray,,,,,,,
chest x-ray showing paracardiac infiltration with hyperaeration.,,,,,,,
"x-ray chest 6-weeks after ligation of the fistula. x-ray of the chest (pa-view), taken 6-weeks after ligation of the fistula, showing resolution of the pleural effusion with no recurrence.",,,,,,,
chest x-ray of the patient showing infiltration in right lung,,,,,,,
a herniated bowel loop in posteroanterior chest x-ray.,,,,,,,
,,an abdominal x-rays (axr) revealed a stone in the right upper quadrant ().,,,,,
chest x-ray demonstrating colonic dilatation with absence of air under diaphragm.,,,,,,,
"third post- operative day chest x-ray, showing resolving mid-zone perihilar infiltrates.",,,,,,,
chest x-ray showing mediastinal enlargement,,,,,,,
same chest x-ray after ict insertion,,,,,,,
"chest x-ray. chest x-ray showing a suspicion of hilar lymphadenopathy, especially on the left-side",,,,,,,
chest x-ray showing bilateral diffuse opacities,,,,,,,
a repeat chest x-ray following right heart catheterization. repeat chest x-ray (cxr) after right heart catheterization showed a new finding of diffuse bilateral dense consolidation with air bronchograms and sparing of the lower lobes.,,,,,,,
"just prior to discharge, a chest x-ray shows marked improvement in subcutaneous emphysema (red arrows).",,,,,,,
chest x-ray (posteroanterior view) of a woman with uterine arteriovenous malformation. she had undergone glue embolization and developed shortness of breath immediately after the procedure. chest x-ray shows multiple branching patterns of linear radio densities (arrow) scattered in the bilateral lungs and prominent pulmonary bay suggesting glue embolization.,,,,,,,
chest x-ray showing malpositioned intercostal drainage tube in a case of hydro-pneumothorax on the left side,,,,,,,
x-ray chest showing right peribronchial central infiltrate,,,,,,,
x-ray chest showing right hilar prominence,,,,,,,
chest x-ray revealed a soft tissue density mass on the left.,,,,,,,
,,abdominal supine x-ray two years after the first admission demonstrates the residual barium. the patient was in good general and health condition at this time point.,,,,,
chest x-ray 3 months after stopping imatinib showing resolution of effusion,,,,,,,
plain x-ray of the chest showing right pulmonary agenesis with mediastinal shift and hyperinflated lung.,,,,,,,
chest x-ray showed diffuse reticulonodular opacities in both lungs and pulmonary edema.,,,,,,,
post-operative chest x-ray showing complete excision of the 3rd rib and the lesion.,,,,,,,
chest x-ray showing dextrocardia,,,,,,,
chest x-ray showing unilateral hyperlucency (left lung) with decreased volume,,,,,,,
,,simple abdominal x-ray of the male patient taken in the neonatal intensive care unit. diffuse air distension of bowel loops was observed.,,,,,
chest x-ray of patient showing pleural effusion,,,,,,,
(case 1) chest x-ray on admission,,,,,,,
chest x-ray showing widened superior mediastinum.,,,,,,,
x-ray chest showing elevated left dome of the diaphragm with bowel loops in the left side of chest with the mediastinal shift to right side,,,,,,,
foreign body in the oesophagus visible in a lateral x-ray image of the chest,,,,,,,
chest x-ray showed right lower lobe consolidation with the right costophrenic angle obliteration suggestive of right pleural effusion,,,,,,,
chest x-ray: bilateral diffuse nodular opacities with bilateral pneumothorax.,,,,,,,
pre-operative chest x-ray,,,,,,,
chest x-ray pa showing the radioopaque iud in the right subdiaphragmal region.,,,,,,,
chest x-ray shows cardiomegaly and pulmonary vascular congestion.,,,,,,,
,,abdominal x-ray before 3rd colonic stent.,,,,,
chest x-ray showing the radio-opaque foreign body,,,,,,,
repeat chest x-ray. repeat chest x-ray showed rapid and significant worsening of the left upper lobe lesion.,,,,,,,
chest x-ray of the patient showing right-sided heamothorax.,,,,,,,
chest x-ray showing scoliosis.,,,,,,,
x-ray chest showing encysted hyper-translucence shadow covering the whole left hemi-thorax with nasogastric tube in situ and mediastinal shift to the right,,,,,,,
"chest x-ray depicting a global enlarged heart, chronic pulmonary congestion, and right-sided pleural effusion",,,,,,,
chest x-ray of the lying patient in the a.p. path of ray. the congestion of the pulmonary veins reflects the cardiac shock and mild pulmonary edema. a meso-/dextrocardia with a dilated heart silhouette is the prominent finding.,,,,,,,
chest x-ray (lateral view) of the patient,,,,,,,
post-thoracoplasty chest x-ray.,,,,,,,
chest x-ray ap view showing the endobronchial placement of the single lumen tube in the left bronchus. also seen is the right main bronchus and adequately ventilated right lung,,,,,,,
the chest-x-ray performed after laparoscopic surgery. it shows dilated bowels loops in the left hemi thorax shifting the mediastinum to the right.,,,,,,,
chest x-ray on admission.,,,,,,,
x-ray of the chest shows blunting of right costophrenic angle with intercostal tubein situalong with left mid-zone lung abscess and surrounding consolidation,,,,,,,
chest x-ray showing malpositioned intercostal drainage tube in a case of pneumo-thorax with collapse on right side,,,,,,,
chest x-ray (pa view) showing segmental collapse of right lower lobe,,,,,,,
chest x-ray showed rib notching on the undersurface of the posterior ribs (white arrows).,,,,,,,
chest x-ray (lateral view) showing cortical breach and erosion of upper third of sternal body,,,,,,,
"posteroanterior chest x-ray study performed on admission, showing a right pneumonia.",,,,,,,
chest x-ray showing elevated right side of diaphragm,,,,,,,
chest x-ray showing right peri-hilar mass with tracheal compression.,,,,,,,
,,,,,,post-operative anteroposterior x-ray view of the proximal tibia. bone resection was decided for the achievement of wide and tumor-free surgical margins.,
chest x-ray showing left sided pleural effusion,,,,,,,
,,abdominal x-ray at presentation showing hugely dilated caecum and transverse colon with paucity of gas in the descending colon.,,,,,
normal pre-operative chest x-ray,,,,,,,
chest x-ray showing irregular fusion of left sided ribs and scoliosis of thoracolumbar spine,,,,,,,
"chest x-ray showed subcutaneous emphysema, with gas tracking into the neck area bilaterally and a paracardiac gas stripe of the right (black arrows).",,,,,,,
chest x-ray pa view showing pneumomediastinum and subcutaneous emphysema in the neck and chest wall,,,,,,,
,,the abdominal simple x-ray. it shows the stomach filled with a huge soft tissue density of solid mass.,,,,,
chest x-ray showing a lesion in the right lung.,,,,,,,
chest x-rays showed no unnormal sign on postoperative day 7.,,,,,,,
chest x-ray showing left-sided bronchopneumonia and a shadow of cystic mass overlapping the cardiac location,,,,,,,
chest x-ray showing left upper lobe collapse and mediastinal shift to the ipsilateral side.,,,,,,,
ap chest x-ray,,,,,,,
a chest x-ray showing dilated bowel loops and upward displacement of the diaphragm.,,,,,,,
chest imaging. chest x-ray shows multiple bilateral nodules with surrounding bilateral reticular fibrotic lesions,,,,,,,
chest x-ray showing central venous catheter in superior vene cava,,,,,,,
tularemia: normal chest x-ray.,,,,,,,
pre-operative normal chest x-ray,,,,,,,
,,flat abdominal x-ray. intestinal obstruction,,,,,
chest x-ray showing air bubble below the left hemi-diaphragm in the gastric region.,,,,,,,
chest x-ray finding. chest radiograph showing left-sided pleural effusion (arrow).,,,,,,,
chest x-ray on admission: left lower lobe alveolar infiltrate.,,,,,,,
,,a plain x-ray abdomen done the age of 2 years depicting absent abdominal musculature and the resultant visceroptosis,,,,,
pre-operative x-ray chest showing left diaphragmatic hernia,,,,,,,
chest x-ray showing moderately advanced lesion with cavity less than 4 cm in diameter.,,,,,,,
"chest x-ray, pa view showing cardiomegaly with left ventricular configuration and pulmonary congestion.",,,,,,,
follow-up chest x-ray 30 days after the surgery,,,,,,,
chest x-ray shows multiple miliary mottling,,,,,,,
,,abdominal x-ray.,,,,,
chest x-ray on the third postoperative day showing the elevated right hemidiaphragm with pleural effusion.,,,,,,,
chest x-ray before discharge,,,,,,,
chest x-ray posterior-anterior view showing a non-homogeneous opacity of the right lower zone with large cavity,,,,,,,
massive pericardial effusion seen on chest x-ray,,,,,,,
postoperative chest x-ray.,,,,,,,
,,abdominal x-ray (axr) demonstrating root canal file at the level of the l1 vertebra.,,,,,
chest x-ray in a 57-year-old man with uip. imaging findings are not specific and reticular pattern in the early stage of disease is not appreciable,,,,,,,
chest x-ray reveals an enlargement of the cardiac silhouette. the cardiothoracic ratio is 64%.,,,,,,,
post-aspiration chest x-ray showing well-defined radio-dense opacities through all zones of the right lung and similar but less extensive changes on the right.,,,,,,,
chest x-ray shows endocardial pacemaker implantation via the persistent left superior vena cava and coronary sinus. note that the active ventricular lead is fixed into the high interventricular septum,,,,,,,
chest x-ray showing pulmonary infiltrates on the right side,,,,,,,
chest x-ray of patient no-1.,,,,,,,
chest x-ray image showing situs inversus and an abnormal 10 cm opacity at the right upper lung.,,,,,,,
"chest x-ray on a pa projection that shows focal relative oligemia of the right upper lung (westermark's sign, circle), in contrast to significantly dilated right descending pulmonary artery, with a “sausage-like” appearance (palla's sign, arrow)",,,,,,,
chest x-ray showing cardiomegaly,,,,,,,
chest x-ray showing bilateral diffuse infiltrates.,,,,,,,
chest x-ray at the first visit showing bilateral reticular opacity.,,,,,,,
chest x-ray showing extensive subcutaneous emphysema and pneumomediastinum,,,,,,,
"postoperative chest x-ray with the drain under the base of the heart, inserted in diaphragmatic wall of the pericardial sac – 13-year-old girl with tamponade in the course of pneumonia treatment",,,,,,,
chest x-ray showed a right pneumothorax.,,,,,,,
chest x-ray one month after initial discharge.,,,,,,,
chest x-ray before aspiration (on mechanical ventilation),,,,,,,
chest x-rays. the arrow denotes the presence of air bubbles in the chest compatible with herniated viscera in the chest cavity.,,,,,,,
a chest x-ray obtained on postnatal day 11. diffuse pulmonary interstitial emphysema with growing pseudocystic changes in the right lung field can be seen on this x-ray.,,,,,,,
chest x-ray: left lower lobe atelectasis with bilateral interstitial infiltrates.,,,,,,,
a chest x-ray suggestive of the embolised device in the left pulmonary artery. inset: the retrieved occluder device.,,,,,,,
chest x-ray; mediastinal enlargement detected in the initial study of the patient.,,,,,,,
"chest x-ray showed an enlarged cardiac silhouette, consolidation in the inferior lobe of left lung and pleural effusion.",,,,,,,
chest x-ray 24 months post-re-pleurodesis and sirolimus treatment,,,,,,,
"chest x-ray shows persisting total atelectasis of the right lung. note the marked loss of volume on the right, pronounced shift of the mediastinum to the right, and compensatory overexpansion of the left lung.",,,,,,,
"chest x-ray demonstrated right pleural effusion, but no radio-opacity was detected and there was no evidence of pneumomediastinum or subcutaneous emphysema.",,,,,,,
,,,a 2.5-week x-ray image post emergent surgery of coronal plane.,,,,
,,abdominal x-ray showing multiple bilateral renal stones (black arrows) and multiple bilateral ureteral stones (white arrows),,,,,
case 3: pneumonia diagnosed via chest x-ray.,,,,,,,
,,abdominal x-ray showing no evidence of obstruction or perforation.,,,,,
x-ray chest shows diffuse calcifications in both breasts,,,,,,,
chest x-ray showing central venous catheter was found crossing the midline (necklace pattern) and seen inside the left subclavian vein. notice the endotracheal tube in place,,,,,,,
chest x-ray post-olt: pneumothorax ex-vacuo. arrow indicates location of chest tube.,,,,,,,
"chest x-ray showed migration of a bent kirschner wire from the right clavicle. it was 9 cm in length, with its tip in the mediastinal shadow (black arrow).",,,,,,,
,,abdominal x-ray shows the extruded ventriculoperitoneal shunt cathether through the urethral orificium,,,,,
,,"abdominal x-ray showing an opaque gastric mass with a mosque pattern, outlined by intraluminal air (arrow).",,,,,
x-ray of the chest.,,,,,,,
posttreatment chest x-ray.,,,,,,,
chest x-ray showing progression of diffuse pulmonary infiltrates.,,,,,,,
"chest x-ray, latero-lateral view. oval lesions in area th4/th5",,,,,,,
x-ray chest ap view showing 'granny knot' of left ventricular lead in coronary sinus,,,,,,,
preoperative chest x-ray (day 0).,,,,,,,
"admission chest x-ray of patient 2. bilateral nodular densities, most prominent in the periphery.",,,,,,,
initial chest x-ray: right upper and lower lobe infiltrations.,,,,,,,
"initial chest x-ray showed subcutaneous emphysema, with air tracking into the neck area bilaterally (chevron), and a para-aortic air stripe of the left (arrow).",,,,,,,
,,an opacity (appendicolith) in abdominal x-ray.,,,,,
preoperative chest x-ray showing bilateral diaphragmatic elevation because of the tumor.,,,,,,,
initial anteroposterior chest x-ray.,,,,,,,
,,,"anteroposterior (ap) view of clavicle. x-ray beam directed perpendicular to coronal plane of body, while standing. x-ray cassette parallel to coronal plane of body",,,,
"chest x-ray. cardiomegaly involving right chambers, enlarged pulmonary trunk (arrow), and right main pulmonary artery (head arrow).",,,,,,,
chest x-ray revealing a left gastrothorax.,,,,,,,
a chest x-ray revealed the presence of a massive right sided pleural effusion.,,,,,,,
chest x-ray of the same patient showing enlarged cardiac shadow and uncertain signs of pleural effusion and interstitial lung disease,,,,,,,
"chest x-ray 1 week after the surgery, interpreted as bilateral basilar atelectasis. staples over the left thorax are a result of left pectoralis major pedicled myocutaneous flap reconstruction.",,,,,,,
chest x-ray on day 0. mediastinal shift to the right and coil up sign of the nasogastric tube are shown,,,,,,,
chest x-ray anteroposterior view shows an homogenous dense opacity (red arrow) in right cardiophernic angle.,,,,,,,
chest x-ray (the second hospitalization).,,,,,,,
chest x-ray on 52 day of hospitalization showed that the consolidation in the right lower lung field significantly improved. the patient was discharged from our hospital following these findings.,,,,,,,
pa chest x-ray showing ill-defined opacity right lower zone (arrow).,,,,,,,
,,simple abdominal x-ray shows faint rectal gas and a large amount of fecal materials in the distal colon (circle).,,,,,
chest x-ray after endovascular retrieval demonstrating the catheter positioned at t6/atrial level (arrows).,,,,,,,
chest x-ray obtained at trauma center showing persistent hemothorax despite chest tube placement at outside hospital.,,,,,,,
,,"postoperative abdominal x-ray film following the patient's second shunt revision demonstrating appropriate shunt placement. as noted, the peritoneal portion was placed laparoscopically by general surgery and was visualized to be within the peritoneal space",,,,,
chest x-ray on admission showing worsening bilateral lung opacities.,,,,,,,
chest x-ray showing an abnormal shadow associated with ipsilateral pleural effusion.,,,,,,,
chest x-ray shows a mass in the upper lobe of right lung with displacement of the trachea to the left and elevation of right diaphragm.,,,,,,,
,,erect abdominal x-ray reveals a large hiatal hernia with a greatly distended gastric bubble and distended bowel loops.,,,,,
an antero posterior chest x-ray of the patient with a chest wall schwannoma,,,,,,,
chest x-ray showed complete resolution of diffuse interstitial changes after prednisolone therapy.,,,,,,,
"x-ray chest showing cardiomegaly, right pleural effusion with underlying collapse, and fibrotic bands in the right perihilar region",,,,,,,
chest x-ray. this is a posteroanterior chest x-ray taken of the patient at the time of diagnosis. it demonstrates the opacity in the left upper lobe of the lung consistent with lung cancer.,,,,,,,
"chest x-ray 2 h after lavage/surfactant procedure in the same patient as in fig 1, showing clearing of infiltrate.",,,,,,,
"chest x-ray showing large right sided pneumothorax, pneumo-mediastinum and bilateral sub-diaphragmatic free air.",,,,,,,
,,abdominal x-ray film in erythromycin group on 7th postoperative day. twenty kolomarks are remained in gastrointestinal tract.,,,,,
x-ray chest lateral view showing 'granny knot' of left ventricular lead in coronary sinus,,,,,,,
"chest x-ray at admittance showing bilateral pulmonary congestion, which was first assumed to be bilateral lung contusion",,,,,,,
post-op chest x-ray showed complete excision of the right-sided mass,,,,,,,
,,preoperative abdominal x-ray film. dilated loops of small abdomen in the upper abdomen. dilated cecum or massively dilated small bowel loop in right lower abdomen (hollow arrow). fetal bony silhouette is outlined with solid arrows.,,,,,
post-intubation chest x-ray demonstrating diffuse bilateral alveolar infiltrates left more than right.,,,,,,,
chest x-ray of case 1 showing dextrocardia,,,,,,,
control chest x-ray on the follow-up visit. radiological improvement of the right lower lobe alveolar infiltrate.,,,,,,,
,,plain film abdominal x-ray showing the trapped stomach in the large parastomal hernia on the patient's lower left side. notice the fundus-like air on the outer left-hand side of the trapped part. also visible is free air inside the parastomal hernia.,,,,,
chest x-ray film showing bilateral ggo in both lower lung fields.,,,,,,,
chest x-ray of the same patient 2 months after pleurodesis and pigtail catheter removal showing no reaccumulation of fluid and successful pleurodesis.,,,,,,,
,,abdominal x-ray showing 7 cylindrical batteries (5 aaa and 2 aa) in the upper abdomen.,,,,,
,,abdominal x-ray with gastric dilatation.,,,,,
chest x-ray on 2nd day with no significant findings,,,,,,,
chest x-ray showing new multiple bilateral cavitary nodules and focal infiltrates in the lateral aspect of the right upper lobe.,,,,,,,
follow-up chest x-ray showing improvement of lung consolidations.,,,,,,,
chest x-ray findings. a representative chest x-ray for the active tuberculosis developed in patients with cd during anti-tumor necrosis factor therapy. a patchy heterogeneous consolidation is visible in the left upper lobe of the lung.,,,,,,,
chest x-ray showing moderate amount of left sided pleural effusion,,,,,,,
x-ray of the chest after removal of the drain – normally expanded lungs,,,,,,,
chest x-ray on 19th day showing clear lung fields,,,,,,,
lateral chest x-ray after the operation viewing improved sternum,,,,,,,
"chest x-ray showing pneumothorax, extensive surgical emphysema.",,,,,,,
computed tomography of the same patient performed a few weeks after the presented chest x-ray (figure 1). subpleural nodes and nodules are visible. video-assisted thoracoscopic examination was performed and lung biopsy revealed organizing pneumonia. clinical and radiological symptoms responded very well to oral steroids and did not relapse until renewed introduction of mesalazine,,,,,,,
"chest x-ray film, anteroposterior view, showing the relative position of the implantable cardioverter-defibrillator and breast tissue expander.",,,,,,,
chest x-ray showing enlargement of left hilum probably due to main pulmonary artery dilatation,,,,,,,
,,abdominal x-ray.,,,,,
chest x-ray (pa view) showing left upper zone infiltration with cavitation,,,,,,,
,,plain abdominal x-ray depicts slightly dilated small bowel loop with pattern of intramural pearls of air (black arrows).,,,,,
chest x-ray showing hyperinflated right lung,,,,,,,
"the chest x-ray, anteroposterior (ap) view, demonstrating bone metastasis.source: a dixit",,,,,,,
chest x-ray showing left sided pneumothorax,,,,,,,
chest x-ray showing extreme dissection of the aorta (arrows),,,,,,,
chest x-ray (postero-anterior view) demonstrates nodular opacity at the level of 5th and 6th rib with hilar prominence,,,,,,,
,,abdominal x-ray confirming distal catheter migration.,,,,,
,,,,x-ray visualization for positioning the catheter tip in the main pulmonary artery of a minipig.,,,
pa chest x-ray 14 weeks following completion of rt showing patchy consolidation in the central aspect of the left lung.,,,,,,,
chest x-ray posteroanterior view: right upper lobe pulmonary fibrosis and tracheal shift to the right side with secondary infection,,,,,,,
chest x-ray on hospital day 3 shows increased bilateral diffuse opacities suggesting progressive acute respiratory distress syndrome.,,,,,,,
chest x-ray posterioranterior view showing cardiomegaly and shift of trachea and mediastinum to the right,,,,,,,
chest x-ray showing worsening reticular and hazy markings throughout bilateral lung fields compared to the previous chest x-ray.,,,,,,,
"x-ray of the chest shows a small pocket of right-sided pneumothorax and thick fibrotic band in left mid-zone, likely healed lesion",,,,,,,
"x-ray chest, posteroanterior view, with ellis s-shaped curve.",,,,,,,
"chest x-ray showed a wide mediastinum, enlarged aortic knob, rightward deviation of the nasogastric tube, and a smudgy aortopulmonary window",,,,,,,
"chest x-ray showed multiple sclerotic lesions of right 4th, 5th, 6th and 7th ribs.",,,,,,,
chest x-ray with central venous catheter tip (black arrow) migrated to left brachiocephalic vein on patients arm position in hyper abduction (day 3),,,,,,,
postoperative chest x-ray: right lung ards,,,,,,,
chest x-ray of the same patient at the end of prone ventilation on 6th day,,,,,,,
"plain chest x-ray radiography. no apparent free air was present, but marked right pleural effusion was observed.",,,,,,,
,,,,,,x-ray 8 months after surgery showing the residual tumor.,
chest x-ray showing infiltrate in the right lung.,,,,,,,
admission chest x-ray.,,,,,,,
chest x-ray shows scanty bilateral pleural effusion and focal increased density in left lower lobe. no air was demonstrated in the peritoneal cavity or mediastinum.,,,,,,,
chest x-ray showing bilateral pneumothorax,,,,,,,
x-ray chest depicting battery cell and pneumopericardium,,,,,,,
x-ray chest sohwing pneumothrorax,,,,,,,
chest x-ray illustrating the initial pulmonary infiltration of the liver mass (arrow).,,,,,,,
,,abdominal x-ray with gastric and intestinal dilatation.,,,,,
chest x-ray pa view showing a left lower lobe cavitary lesion having a irregular wall and air fluid level inside,,,,,,,
,,,,,,"postoperative x-ray imaging of the right proximal-humerus tumoral prosthesis.after tumor removal, a prothesis was implanted into the right humerus of the patient in march 2010.",
"contrast-enhanced ct of the chest of an 18-year-old shows a large anterior mediastinal mass (asterisk), which was subsequently diagnosed to be a germ cell tumour. the linear vascular structure (arrow) entering the posterior aspect of the superior vena cava is the azygous vein. it is to be noted that the appearance of azygous vein can vary and is dependent not only on its course, but also on the direction of the x-ray beam.",,,,,,,
,,the plain abdominal x-ray is divided into 3 segments and radiopaque markers are counted in each segment,,,,,
preoperative chest x-ray with nasogastric tube,,,,,,,
chest x-ray image showing foreign body on theoretical position of middle esophagus,,,,,,,
