computed tomography and chest,computed tomography and lung,computed tomography and lungs,computed tomography and brain,computed tomography and abdominal,computed tomography and coronal,computed tomography and artery,computed tomography and lobe,computed tomography and tumor,computed tomography and liver
,,,,,,,axial view of computed tomography scan showing completely damage of the globe of left eye with fractured surrounding bones,,
,,,,,,,,"enhanced computed tomography revealed a solitary, low-density, and hypovascular tumor with a diameter of 54 mm in segment 4 of the liver (arrow)",
,,,,computed tomography revealed an intraabdominal mass.,,,,,
,,,,,,"absence of left coronary trunk. axial coronary computed tomography angiography and mip reconstruction showing the origination of the anterior descending artery (da) and circumflex (cx) artery directly from the left coronary sinus. ao asc, ascending aorta.; cd, right coronary artery; ae, left atrium; tp, pulmonary artery trunk.",,,
,contrast enhanced computed tomography thorax showing the lung window,,,,,,,,
computed tomography of chest showing lung nodules.,,,,,,,,,
"presenting chest radiograph showing cardiomediastinal silhouette enlargement with mild congestion and pleural opacity on the right chest wall. annular calcific pericardial ring later seen on echocardiogram, coronary angiography, and computed tomography scan is not well visualized",,,,,,,,,
,,,,"abdominal computed tomography, findings are consistent with complicated left pyelonephritis and emphysematous pyelonephritis",,,,,
,,,,abdominal computed tomography showing the recurrent lesion.,,,,,
,,,,,,computed tomography of the abdomen showing beading of the left renal artery suggestive of fmd.,,,
,,,,abdominal computed tomography of the abdomen showing an irregular wall thickening,,,,,
,,,,,computed tomography urography image of supernumerary in a horseshoe kidney combination at the coronal plane,,,,
,,,,abdominal computed tomography after surgery. there is no leakage or abscess formation after primary repair.,,,,,
,computed tomography revealed a mass lesion on the left lung near pulmonary artery with lymphadenopathy,,,,,,,,
,,,,,,,axial computed tomography image at level of aortic root demonstrates small left lower lobe pulmonary arteriovenous malformation (arrow) with surrounding ground glass opacity consistent with recent haemorrhage.,,
,,,,,preoperative coronal computed tomography demonstrates partial sphenoid sinus opacification and right sphenoid mass occupying precise limits compatible with right sphenochoanal nasal cavity polyp.,,,,
,,,,,,,,computed tomography image of a tumor in the uncinate process with tumor contact to the superior mesenteric vein (smv) over a distance of about 2 cm (arrow: “borderline resectable”).,
computed tomography of the chest showed diffuse alveolar infiltration bilaterally with pleural effusions.,,,,,,,,,
a computed tomography scan of the chest shows the recurrence of pulmonary artery intimal sarcoma.,,,,,,,,,
,,,,,"coronal computed tomography of the paranasal sinuses, showing a tumor underneath the inferior turbinate.",,,,
computed tomography scan of the chest showing multiple bilateral lung metastases.,,,,,,,,,
,,,brain computed tomography scan showing thin left subdural haematoma (arrow heads) associated with left parenchymal haemorrhagic contusion (arrow).,,,,,,
chest computed tomography in october 2011 showing a diffuse subpleural reticular pattern and honeycomb appearance.,,,,,,,,,
,,,,,,"multidetector computed tomography, 3-dimensional volume- rendered reconstructed image of the coronary system. lad2 (arrow) arises from the right coronary artery (arrow) and then turns sharply down the anterior interventricular sulcus and extends to the apex of the heart. left anterior descending artery (arrow) forms a short vesselrca – right coronary artery, lad – left anterior descending artery",,,
,,,,,"computed tomography angiography with coronal reconstructed image shows placement of catheter tip in subclavian artery. ao - aorta, c- catheter",,,,
,intralobar pulmonary sequestration. a 26-year-old woman with recurrent hemoptysis. contrast-enhanced spiral computed tomography (ct) shows the aberrant artery (arrow) originated from thoracic aorta and introduced to lower left lobe of the lung.,,,,,,,,
,,,,,"obtained from the same patient in figure 1, a coronal cut of computed tomography abdomen and pelvis with contrast in venous phase demonstrating inferior vena cava thrombus extending into retrohepatic inferior vena cava, level iiia",,,,
,,,,"abdominal computed tomography performed immediately after the first abdominal ultrasonography, and showing isolated small bubbles of portal venous gas (arrow) in the liver.",,,,,
,,,,,,,,computed tomography scan revealing an intestinal gastrointestinal stromal tumor measuring 10×15×9 cm.,
,,,,,,,"a small hcc (white arrow) was detected at the caudate lobe of an 80-year-old female patient with serum high alpha-feto-protein level, which was recognized only by arterial phase of dynamic computed tomography",,
,"follow‐up positron emission tomography‐computed tomography (pet‐ct) examination after chemotherapy. high fdg uptake lesions in the right lung lobe hilus had reduced, and all previous lesions in the right breast, right adrenal gland, and left ovary had disappeared. only the right thyroid nodule was still present.",,,,,,,,
,,,,,computed tomography coronal image showing calcific lesion around the greater trochanter of the left hip.,,,,
,,,,,coronal section of contrast-enhanced computed tomography of the abdomen and pelvis demonstrating a stricture at the mid-common bile duct (arrow),,,,
"chest computed tomography on admission. bilateral pleural effusion and diffuse ground-glass opacity was apparent, and thickened septal lines and diffuse reticular opacity were evident in both lungs.",,,,,,,,,
,,,,"initial abdominal computed tomography (ct) of diffuse hepatic hemangiomatosis and coexistent giant cavernous hemangioma in a 78-year-old man.axial contrast-enhanced ct image during the arterial phase shows heterogeneous nodular enhancement in both hemilivers and a contour-bulging mass with a central markedly low density area involving the caudate lobe. the expansile mass (arrowheads) protruded anteriorly, and the horizontal portion of the left portal vein was invisible, suggesting left portal vein occlusion by the mass effect of the caudate lobe lesion. the umbilical portion of the left portal vein was also invisible along the fissure for ligamentum teres (white arrow). ascites in the right subphrenic space and dilated hepatic artery (long arrows) measuring 10-mm can be noted. there was no portomesenteric vein thrombosis (not shown).",,,,,
chest computed tomography showing a left lung tumor.,,,,,,,,,
"computed tomography chest, without contrast. extensive soft tissue thickening, inflammation, and gas within the right lateral chest wall extending from the ribcage into the right lower lobe pleuroparenchyma indicating empyema necessitans",,,,,,,,,
,,,,"axial computed tomography scan image: mass in the uncinate process of pancreas measuring 15 mm in diameter with bright contrast enhancement during arterial phase (arrow), without pathologic intra- abdominal lymph nodes",,,,,
high-resolution computed tomography of the chest showing diffuse interstitial pneumonitis.,,,,,,,,,
,,,,,"repeated ct scan (coronal section) showing large peripancreatic and left flank collection. ct, computed tomography.",,,,
,,,,,,"maximum intensity projection reconstruction of a postoperative computed tomography angiogram, demonstrating thrombus in the right common iliac artery aneurysm sac with no evidence of endoleak and retrograde filling of the right internal iliac artery stump.",,,
,,,,,coronal computed tomography of paratracheal mass with right anterolateral trachaeal involvement.,,,,
computed tomography scan of the chest showed partial atelectasis of the right lower lobe (arrow) before treatment. (13 october 2011).,,,,,,,,,
,,,,,coronal paranasal sinus computed tomography images 2 months after the operation showing no signs of recurrence or inflammation.,,,,
,,,,,"computed tomography showing an ill defined, intraparenchymal tumor obliterating most of the right lobe of the liver (coronal section).",,,,
,,,,abdominal computed tomography reveals a homogeneous infiltrative mass in the left renal sinus with relative low attenuation compared to the renal parenchyma (arrows).,,,,,
,,,brain computed tomography of the third patient performed 1 h after symptoms onset shows thrombus formation within basilar artery; there's also mild compression on medullo-cervical junction by basilar.,,,,,,
,,,,intra-abdominal free air identified on abdominal computed tomography scan.,,,,,
computed tomography (ct) chest axial plane showing diffuse randomly distributed ground-glass nodules (blue arrows) involving bilateral lungs consistent with military tuberculosis. implantable cardioverter defibrillator leads seen (yellow arrows),,,,,,,,,
chest computed tomography reveals a huge multiseptated cystic and solid mass containing foci of intralesional calcifications in the left lower lobe of the lung.,,,,,,,,,
computed tomography of the chest revealed a large heterogeneous middle mediastinal mass measuring 15×17×18 cm without associated lymphadenopathy and anteriorly displaced heart.,,,,,,,,,
,,,,,coronal cut of computed tomography of the orbit of a patient showing superotemporal herniation of the eyeball with inferior displaced lr and nasally displaced sr muscles.,,,,
,,,,abdominal computed tomography scans.,,,,,
,,,,computed tomography scan of the abdomen showing the large tumor arising from the anterior abdominal wall,,,,,
,computed tomography of case 2. an image before formalin-fixed tumor vaccine therapy shows a mass in the left lung (arrow),,,,,,,,
computed tomography of the chest shows patchy air-space consolidation and atelectasis of the right lower lobe.,,,,,,,,,
contrast-enhanced computed tomography chest mediastinal window at the level of arch of aorta shows collapse of left upper lobe with a shift of major fissure (thick arrow). the superior segment of the left lower lobe has hyperinflated and invaginated the medial part of left upper lobe (thin arrow),,,,,,,,,
,,,,abdominal computed tomography showed that all intraabdominal organs were positioned inversely in a mirror image way.,,,,,
,,,"the ct brain scan showed global brain swelling causing transcalvarial brain herniation (a).abbreviation: ct, computed tomography.",,,,,,
,,,,,coronal plane computed tomography scan showing a hematoma of the anterior compartment.,,,,
,"computed tomography showing an extensive pneumomediastinum with mild septation, unchanged lung parenchyma (cross-sectional cut)",,,,,,,,
,,,,,,,"computed tomography (ct) scan showing the neoplasm (~3.5×4.5×4.5 cm) in the right lobe of the liver, as indicated by the arrow.",,
,,,,,,"computed tomography angiogram, maximum intensity projection (mip) image. the arrow indicates the renal artery anastomosis with the right external iliac artery. note that there is no aneurysmal dilatation at this level.",,,
,,,,,computed tomography angiography scan of the thoracic cavity in coronal section demonstrating the extent and location of the enlarged aneurysm of descending thoracic aorta.,,,,
chest computed tomography (ct) obtained during the patient’s first admission to our hospital. ct showed no emphysematous changes or space-occupying lesions.,,,,,,,,,
,,,,,pre-operative computed tomography scan of the paranasal sinus showing a mass involving the right maxillary sinus (coronal cut).,,,,
,,,,"computed tomography image of the abdominal aorta.in roman numerals the infra renal distances are portrayed. i: 0 mm, ii: 7.5 mm, and iii: 15 mm. to provide a standardized method for measuring the distances as mentioned above, first the midline of the aortic neck is chosen. the perpendicular line is then placed at the point where the lowest renal artery branches from the aorta. in the caudal direction from this point (i) and parallel to the midline, a distance of 7.5 and of 15 mm is measured to identify point ii and iii, respectively.",,,,,
,,,"initial computed tomography scan demonstrating a 23 mm thickness of acute subdural hematoma with midline shift of 15 mm in the left frontotemporoparietal region with herniation sign, compression of the brain stem. a band of low density between the subdural hematoma and inner table of the skull is seen.",,,,,,
,,,,"abdominal computed tomography revealed peripancreatic fat tissue edema and a heterogeneous appearance of the pancreas (arrow). based on these findings, it was concluded that edematous pancreatitis was in its initial stage.",,,,,
,high resolution computed tomography of lung shows miliary pattern in bilateral lung fields with few coalescent larger nodules,,,,,,,,
,,,,,,,enhanced neck computed tomography showing a cystic mass (arrow) at the inferior aspect of the right thyroid lobe with a tracheal compression.,,
,,,"computed tomography scan showing hemorrhage in edematous part of brain of patient with herpes simplex virus encephalitis, day 5 of hospitalization.",,,,,,
,,,the axial image of contrast-enhanced brain computed tomography demonstrates an acute hemorrhage in the central pons (white arrow).,,,,,,
,,,,"computed tomography (ct) of the abdomen and the pelvis confirming the presence of a 22 × 19 × 8 cm retroperitoneal mass, extending anteriorly to abdominal wall of right upper quadrant and winding the entire distal right kidney.",,,,,
,,,,,contrast-enhanced computed tomography of the abdomen and pelvis coronal view showing a large heterogeneous sacral mass with erosion and destruction of coccygeal segments,,,,
,,,,,,,,"axial computed tomography of the paranasal sinuses, showing a tumor abutting the nasolacrimal duct. s = nasal septum; it = inferior nasal turbinate; m =maxillary sinus.",
,,,,,coronal computed tomography (ct) scan (portal venous phase) shows gallbladder wall congestion and the periportal halo is visualized in the left lobe of the liver.,,,,
,,,,,,computed tomography pulmonary angiography showing dilatation of the main pulmonary artery and thrombus in the right main pulmonary artery.,,,
computed tomography scan of the chest showing the large subcarinal and precarinal lymph nodes. white lines present the largest dimensions of the subcarinal lymph node observed (5.2×3.5 cm).,,,,,,,,,
chest computed tomography scan with contrast at t7 level. arrowhead marks the ostium.,,,,,,,,,
,,,,,computed tomography thorax (coronal reconstruction) demonstrating a suspected tumour within the right upper lobe and a communicating apical segmental bronchus.,,,,
,,,,,,carotid artery calcification detected by multi-detector computed tomography was seen at the origin of the bilateral internal and external carotid arteries (arrows).,,,
,,,,"abdominal and pelvic ct scan revealing a left hydronephrosis with renal cortical atrophy and an obstructing mass at the iliac crossing of the left ureter.abbreviation: ct, computed tomography.",,,,,
computed tomography of the chest revealed diffuse bilateral airspace disease with ground glass attenuation involving all lobes along with moderate bilateral pleural effusions.,,,,,,,,,
,,,,,,,"huge right lobe hepatocellular carcinoma with portal vein thrombosis was found on pre-treatment computed tomography image. the tumor was occupying almost entire right lobe of the liver. initially measured tumor volume was around 3,500 ml.",,
computed tomography of the chest revealing a large mass originating from median esophagus (red arrows).,,,,,,,,,
,,,,abdominal computed tomography scan showing duodenal stump leakage and air pockets suggestive of abscess formation.,,,,,
,,,,,,computed tomography scan showing thrombi in the right pulmonary artery (black arrows) and apical branch of the left pulmonary artery (white arrow),,,
,thoracic angiography computed tomography scan—numerous metastatic lesions in the lungs.,,,,,,,,
,,,,an abdominal computed tomography with contrast enhancement showed multiple multiloculated abscesses in right hepatic lobe (max diameter: 14 cm).,,,,,
chest computed tomography scan showing an anterior mediastinal multiseptated mass with areas of lower density (arrow).,,,,,,,,,
computed tomography of the chest showing liner foreign body in the right ventricle.,,,,,,,,,
,,,,,preoperative contrast-enhanced computed tomography (coronal view) demonstrating subtle enhancement of the subdural collection.,,,,
,,,,"an abdominal computed tomography scan shows multifocal air pocket along the distal descending colon, proximal to the end colostomy site in a 70-year-old man (white arrow).",,,,,
,,,,,,,,computed tomography scan of the primary tumor on the neck soft tissue with contrast taken in 2006. a 1-cm soft tissue density is seen in the right retromolar trigone with a suggestion of minimal adjacent osseous erosion. the lesion is partially obscured by a metallic spray artifact secondary to the dental amalgam.,
,,,,,,,,"a ct scan was performed following the initial resection and showed gross total resection of the tumor. ct, computed tomography.",
,,,,,,,,,52-year-old patient with hepatocellular carcinoma.pre-interventional computed tomography for intervention planning: arterial hypervascularized mass on the transition to liver segment i posterior to the main stem of the portal vein.
computed tomography scan of the chest demonstrates bilateral pleural effusion.,,,,,,,,,
,,,axial non-contrast computed tomography scan of the braindemonstrating resolution of the tension pneumocephalus and decompression of the brain.,,,,,,
,,,,"abdominal computed tomography scan showing air collection in the periductal space (arrow). to block further bile and pancreatic juice leakage, a self-expandable stent (arrowhead) is inserted at the distal common bile duct.",,,,,
,low dose computed tomography of the lung. consolidation with surrounding ground glass opacity at the medial segment of the right middle lobe.,,,,,,,,
,,,,"abdominal computed tomography, showing a huge lobulated mass with heterogeneous attenuation.",,,,,
,,,,abdominal computed tomography showed a 22 mm hypodense solid mass on the left kidney.,,,,,
high-resolution axial computed tomography scan of the chest shows diffuse ground-glass abnormalities with interlobular septal thickening in the characteristic “crazy paving” pattern after initiation of everolimus therapy.,,,,,,,,,
,,,,,,,,computed tomography scan of mediastinum. massive mediastinal tumor mass.,
,,,,,,,,,"contrast‐enhanced computed tomography scans of a 52‐year‐old woman with hypotension who fell from the fifth floor of an apartment building. the images, taken on arrival at the hospital, show liver injury with extravasation of contrast material to the intrahepatic and retroperitoneal space secondary to hepatic arterial injury."
,,,,,a 46-year-old male with a high-grade extragastrointestinal stromal tumor in the mesentery. coronal contrast-enhanced computed tomography image showing a 19.3-cm cystic mass with markedly peripheral enhancement.,,,,
enhanced chest computed tomography shows a heterogeneous 9.0 × 7.5 cm mass arising in the anterior mediastinum.,,,,,,,,,
,,,computed tomography scan of the brain showing microlacunar hypodense zones in periventricular white matter of the frontal lobes.,,,,,,
,,,,,,,,computed tomography scan showing an adrenal mass suspected to be a possible adrenal tumor.,
chest computed tomography showed pulmonary thromboembolism of the right main pulmonary artery and right middle and lower lobar artery.,,,,,,,,,
,,,,,,,computed tomography of the abdomen on admission. traumatic laceration of the liver: parenchymal disruption involving less than 50% of the right hepatic lobe with an intrahepatic hematoma,,
,,,computed tomography scan of the brain shows a space occupying lesion in the right parietal lobe with peri-space occupying lesion edema,,,,,,
,,,,,coronal computed tomography image showing large aneurysm of splenic artery.,,,,
,,,computed tomography (ct) brain plain shows prominent vein of galen (vog) with mild diffuse cerebral edema,,,,,,
,,,,,,,,"computed tomography scan imaging (ct) of the tumor. contrast-enhanced ct revealed, in the right lateral-upper quadrant, an irregularly shaped, 2,5 cm tumor showing peripheral ring-shaped contrast enhancement.",
,,,,,coronal computed tomography depicting (a) crossing renal ectopic tissue and (b) severe occlusive aortic bifurcation disease.,,,,
,,,,,,,contrast enhanced computed tomography scan neck showing an enhancing nodule with internal calcification at the junction of right lobe of thyroid with isthmus,,
,,,,"abdomino-pelvic computed tomography showed a massive, inhomogeneous, hypodense abdominal tumor.",,,,,
,,,brain computed tomography of the first patient performed 2 days after onset shows vertebrobasilar dolichoectasia with hyperdense basilar signs.,,,,,,
,,,,pre-operative abdominal computed tomography scan of the patient demonstrating characteristic features of mesenteric panniculitis; soft tissue density/mass (asterisk) and relative sparing of mesenteric vessels (grey arrow).,,,,,
,,,,,,,,,computed tomography scan of the liver.
,,,,,,,,computed tomography scan revealing a gastrointestinal stromal tumor of the stomach measuring 6×4×5 cm.,
chest computed tomography showed the presence of pulmonary nodules and masses with excavation areas in the left upper and lower lobes and moderate pericardial effusion.,,,,,,,,,
,,,,,,,non-contrast computed tomography showing globe rupture,,
,,,,,,,,,"example of region of interest (roi) placement for attenuation measurement on an unenhanced axial computed tomography image.three rois are placed in the liver at the level of the hepatic portal, and one is placed in the middle portion of the spleen. the liver measured 13 hu and the spleen measured 49 hu, consistent with fatty infiltration of the liver. hu, hounsfield unit."
,,,,abdominal computed tomography scan of the patient upon admission. the scan identified diffuse calcification of abdominal muscles (arrows).,,,,,
computed tomography image showing extensive bilateral pleural nodularity. a pulmonary mass can be seen on the right anterior chest wall (yellow arrow); bilateral pleural effusions are also present (purple arrows).,,,,,,,,,
,,,,,abdomen/pelvis coronal computed tomography. long arrows show the thrombosed left common iliac vein. short arrows show the interbody device placed at l5-s1.,,,,
,,,,,,,,preoperative sagittal computed tomography scan showing the tumor in the right nasal cavity with contrast enhancement.,
,,,,"abdominal computed tomography showing peritoneal carcinomatosis, including omental caking (arrows), scattered peritoneal nodularity, and ascites.",,,,,
,,,,,,"enhanced computed tomography exhibited a well-defined heterogeneous tumor with contrast enhancement in the left lower quadrant of the abdomen, and demonstrated that the left gastroepiploic artery (arrow) was feeding the tumor.",,,
,,,computed tomography scan brain repeated on day 6 showing large haematoma in left frontal and parietal lobe with midline shift and uncal herniation,,,,,,
,,,,,,,"computed tomography image disclosing diffuse airspace disease involving all lobes, with bilateral ground-glass opacities.",,
,coronal section of computed tomography thorax showing the widespread lung cysts at the time of presentation,,,,,,,,
chest computed tomography on admission revealed consolidation of the right middle lobe and bronchial wall thickening of the left lower lobe (9 months post-referral).,,,,,,,,,
,,,,abdominal computed tomography image showing marked caecal dilatation.,,,,,
,,,,,,,,"postoperative computed tomography (ct) scan of patientpostoperative computed tomography (ct) scan of patient shows the trajectory (red arrows), the resection cavity (green arrow), with some tumor remnant mixed with small hematoma (blue arrow) and edema (yellow arrow). an extraventricular drain (evd) is visible in lateral ventricle (orange arrow), reducing the hydrocephalus. note that the midline shift is decreased due to the resection (black arrowheads).",
chest computed tomography scan. sagittal oblique multiplanar reformat (mpr) from outside ct scan demonstrating discontinuity of diaphragm (white arrows) through which portions of the stomach (s) and transverse colon (c) have herniated.,,,,,,,,,
,,,,"axial view on contrast-enhanced computed tomography shows a spiculated mass with central calcification in the lower abdominal cavity (arrow), favoring a diagnosis of foreign-body retention.",,,,,
,,,,"contrast abdominal computed tomography (ct) scan. axial view showing an irregularly marginated 3.0 x 3.0 cm heterogeneous hypodense mass (arrow) nearly completely replacing the distal pancreas, suspicious for pancreatic adenocarcinoma.",,,,,
,,,,,contrast-enhanced computed tomography scancoronal cut showing the lesion eroding the bilateral lamina papyracea and the cribriform plate and encroaching on the medial recti muscles.,,,,
,"maximum intensity projection image 18f-fdg pet-ct shows multiple distant metastasis in the lung, liver and bones.abbreviations: ct, computed tomography; fdg, fluorodeoxyglucose; pet, positron emission tomography; dm, mean decimeter.",,,,,,,,
,,,,,computed tomography scan of the paranasal sinus and neck (sagittal section) showing coronal tracheal diameter 30 mm below the glottis,,,,
"chest computed tomography scan on admission, showing multiple intraparenchymal cavitate nodules in the left lung.",,,,,,,,,
,,,computed tomography axial of the brain showing multiple hypodense subcortical areas suggestive of ischaemia,,,,,,
,,,,,,"computed tomography of renal tumour at three months after surgery with the vascular graft in situ and the lesion in lower pole of left kidney, showing cystic change and reduction in size (as a result of tumour necrosis following ligation of accessory renal artery)",,,
"chest computed tomography scan revealed diffuse panlobular emphysema and a solitary pulmonary nodule, 2 × 2.5 cm in diameter with speculated borders, on the lateral segment of the middle lobe of the right lung.",,,,,,,,,
,,,,,a post-operative coronal computed tomography image of the fusion across the proximal pseudarthrosis and the defect in the fusion mass through which the spinal cord was decompressed.,,,,
,,,,,,,,computed tomography shows a well-circumscribed heterogeneous tumor in the right superior mediastinum.,
,"a plain computed tomography image of the lung on admission. increased density around the lobar bronchi in the right upper lobe of the lung, which suggested bronchopneumonia (white arrow), and emphysematous changes in both lungs were observed.",,,,,,,,
,,,,the computed tomography image of the abdomen. note the situs inversus anatomy of the abdominal organs. a: aorta f: fundus of the stomach l: liver s: spleen vci: vena cava inferior,,,,,
,,,,,,,,preoperative computed tomography view of a 26-year-old female patient with a diagnosis of pseudo-papillary tumors. the figure shows that the lesion occupied the body and neck region with necrosis of the tail on preoperative computed tomography imaging. normal pancreatic tissue is observed in the ventral pancreas region.,
,,,,abdominal computed tomography confirmed perirenal and pelvic cavity fluid collection (white arrow). the black arrow indicates the double j stent.,,,,,
computed tomography of chest showing large amount of right pleural effusion and mediastinal shift to the left,,,,,,,,,
,,,,"abdominal computed tomography (ct) of the pancreatic lesion. contrast-enhanced abdominal ct discloses a large, well-demarcated cyst of the pancreatic tail displacing the stomach and spleen. the fluid content is barely corpusculated. note the partially calcified pseudocapsule and the posterior intramural mass protruding into the cystic cavity (arrow).",,,,,
"axial computed tomography (ct) section of chest showing multiple, well-defined nodules in both lungs with most of the nodules showing ground glass opacity around them (black arrow)",,,,,,,,,
,,,,,,,"contrast enhanced computed tomography thorax revealed multifocal consolidation of superior and lateral segments of left lower lobe and anterior, superior and posterior segments of right lower lobe",,
,,,,computed tomography of the case 1 shows the amount of ascites with abdominal distension.,,,,,
,,,,,contrast-enhanced computed tomography of the abdomen in the coronal plane demonstrates intralesional areas of arterial enhancement (arrow). there is a small amount of paracolic gutter fluid.,,,,
computed tomography scan image of a large mediastinal cyst in a 57-year-old man with chest discomfort. note that the cyst appears to contain a fluid as well as a suggestion of solid material that does not enhance with contrast,,,,,,,,,
,,,axial non-contrast computed tomography scan of the brainshowing bilateral acute-on-chronic subdural haemorrhages.,,,,,,
,,,,,,,"intravenous bolus computed tomography of the abdomen showed a huge cystic mass with thick wall, occupying the most of the right lobe of the liver. the tumor wall has serpentine vascular enhancement during early contrast phase.",,
,,,,,"coronal image of computed tomography. non-contrast-enhancing, heterogeneous soft-tissue mass (m) occupying the pelvic inlet. laterally displaced rectum in the pelvic cavity (arrow).",,,,
,,,,,,,,contrast-enhanced computed tomography scan revealed that the tumor had invaded the spleen (shown by the arrow).,
,,,case #1. computed tomography of head without contrast with diffuse cerebral edema consistent with brain anoxic injury.,,,,,,
(a–d) diagnostic tests for achalasia.notes: (a) barium esophagram; (b) endoscopic appearance of achalasia; (c) chest computed tomography showing sigmoid esophagus; and (d) esophageal manometry showing type ii achalasia.,,,,,,,,,
"computed tomography chest scan of the patient's father showing bibasal thickening of the pulmonary interstitium, reticulation with linear calcifications, and subpleural blebs.",,,,,,,,,
,,,,abdominal computed tomography revealed hepatomegaly and marked liver attenuation.,,,,,
,,,,computed tomography angiogram showing abdominal aorta (arrowhead) and aneurysmal dacron graft with flap (arrow),,,,,
,,,,,,,computed tomography scan shows cortical and subcortical white matter calcification on left frontal lobe with bilateral frontal atrophy where left lobe is more atrophied than right lobe,,
,computed tomography (ct) scan performed one month before commencing pazopanib therapy. the exam disclosed bilateral lung metastases from synovial-sarcoma.,,,,,,,,
,,,"subgaleal abscess in patient. brain ct showed subcutaneous and subgaleal hypodensity indicating air and abscess (white arrow), later confirmed by operation.abbreviation: ct, computed tomography.",,,,,,
,,,,"abdominal computed tomography angiography, transverse scan. aa abdominal aorta, ct celiac trunk, lra left renal artery",,,,,
"chest computed tomography pulmonary angiography. dilatation of the aortic root and ascending aorta, an eventrated anterior dome of the right hemidiaphragm containing liver and a compressed right atrium are evident.",,,,,,,,,
,,,,,computed tomography scan neck with contrast enhancement showing well delineated abscess in the left tonsil in axial (a) and coronal cuts (b).,,,,
,,,,,,,,computed tomography of the mandible showing the extension of the tumor area.,
,,,,,,"computed tomography angiogram of the neck showing a saccular aneurysm of the left maxillary artery involving the left masticator, parapharyngeal and infratemporal spaces. the red circle points out the maxillary artery aneurysm.",,,
,,,,,,,"“mount fuji” sign. axial cranial computed tomography through the level of frontal horns shows a large subdural bilateral pneumocephalus post-operatively. note the compression of the frontal lobes and widening of the interhemispheric space between the frontal lobes, simulating the appearance of mount fuji.",,
,,,,,,,,computed tomography scan at the level of the intussusception. the gastric tumor invaginated into the duodenum with extravasation of contrast medium.,
,,,,transverse reconstructions of the abdominal computed tomography scan.,,,,,
computed tomography scan image showing the herniation of the stomach into the chest.,,,,,,,,,
chest computed tomography taken 13 days after presentation showing the disappearance of the lung ball (arrow) and the presence of a cavitary lesion in the right lower lung field.,,,,,,,,,
,,,plain computed tomography (ct) scan of brain showing subarachnoid hemorrhage in supraclinoid cistern,,,,,,
,,,,,,,,axial computed tomography scan of the head and neck showing the tumor in the left cheek,
,,,,,submandibular space abscess (star) on computed tomography (ct) imaging acquired in the emergency room. neck ct coronal view.,,,,
"55-year-old-male with chest pain. normal axial computed tomography shows region of interest in left ventricular chamber (black arrow) and left ventricular wall (white arrow) for image noise, signal to noise ratio and contrast to noise ratio.",,,,,,,,,
follow-up of chest computed tomography revealed complete resolution of the septic embolism in the azygos vein.,,,,,,,,,
,,,,,,,,,computed tomography scan reveals a 12.6 × 11.2 cm liver mass with central necrosis and heterogeneous enhancement (white arrow) and esophageal wall thickening (gray arrow) with a large luminal mass (black arrow) almost obstructing the lumen.
,,,,,,,,computed tomography imaging: computed tomography showing the left ear canal mass (white arrow). the mass between the tumor and the tympanic membrane was thought to be earwax.,
,,,,,"computed tomography (ct), coronal section, shows a fatty oval lesion measuring 12 mm in diameter with a circumferential hyperdense ring in the right lower abdomen.",,,,
computed tomography scan of the chest showing mediastinal pseudocysts and pleural fluid.,,,,,,,,,
,,,,,,,computed tomography scan of right shoulder without intravenous contrast incidentally shows a rounded 2cm right lower lobe pulmonary mass (white arrow) with no pathologic lesion on right shoulder.,,
contrast-enhanced computed tomography chest showed homogeneous poorly enhancing soft tissue indenting left atrium,,,,,,,,,
,,,,"abdominal computed tomography of the patient with primary adrenal nodular lymphocyte-predominant hodgkin lymphoma. a soft tissue mass was observed in the left adrenal gland (arrow), measuring 4.5×5.5 cm, with a less uniform density and clear borders.",,,,,
,,,,,,,contrast enhanced computed tomography neck revealed a small heterogeneously enhancing soft tissue attenuation lesion with a focus of calcification and few hyper dense areas seen in the left lobe of thyroid,,
,,,,plain abdominal computed tomography image. the hepatic lobes are atrophic with a blunt margin and irregularity on the surface. a moderate volume of ascites retention is also observed,,,,,
,,,,,"computed tomography orbit coronal scan showing a retained foreign body along medial orbital wall and the medial rectus muscle and surrounding reactionary granuloma, blow out fracture of orbital roof, medial wall, and floor",,,,
,,,,abdominal computed tomography shows herniated retroperitoneal fat through left superior lumbar triangle.,,,,,
,,,,abdominal computed tomography scan image of the patient with hprc: the abdomen ct scan with contrast of the patient showing a well defined homogeneous hypodense mass of 1.3×1.9 cm in the right kidney.,,,,,
,,,,"abdominal contrast-enhanced computed tomography image in the coronal view showing that the intrahepatic duct (long black arrow) and common bile duct (cbd; short black arrow) were dilated with segmental stricture (short white arrow) of the distal cbd. the gallbladder (white arrowhead) is also dilated, and a cyst (black arrowhead) can be observed between the gallbladder and cbd. the pancreatic duct (long white arrow) is mildly dilated with relative heterogeneous enhancement of the pancreatic head.",,,,,
"case 1: sagittal oblique maximum intensity projection (mip) image of the computed tomography (ct) scan of the chest showing aberrant right vertebral artery arising as the last vessel of the arch (thin red arrow), distal to left subclavian artery (blue arrow). also, note left common carotid artery (thick red arrow).",,,,,,,,,
