mri and chest,mri and lung,mri and lungs,mri and brain,mri and abdominal,mri and coronal,mri and artery,mri and lobe,mri and tumor,mri and liver
,,,,,post operative mri scan showing intact acl and healed medial meniscus (coronal view),,,,
,,,,,,,,left: mri tbl2 weighted axial image showing the left frontal tumor. right: mri tbl1 weighted with gadolinium image showing a normal posterior fossa.,
,,,,,mri t1fsgd coronal view: the presence of some weak signals was suggestive of vascular structures within the mass.,,,,
,,,,,coronal mri demonstrating complete grade 3 mcl tear from the femoral origin (black arrow),,,,
,,,,,,,,,mri abdomen with 11 mm nonspecific t2 hyperintense lesion in the posterior dome of the liver (arrow). hepatosplenomegaly with smooth liver edges measuring 23 cm superior to inferior and the spleen 12.5 cm near the upper limit of normal. no changes suggestive of cirrhosis or fatty infiltration.
,,,"t1w sagittal mri of a five year old chihuahua without sm with a framework of 19 measurements (11 lines and 8 angles) with three ratios used to ‘map’ the hindbrain and craniocervical junction.key: (a) dorsum of spheno-occipital synchondrosis. (b) basion of basioccipital bone. (c) rostral edge of the dorsal lamina of the atlas. (d) junction between the supraoccipital bone and the occipital crest. (e) most dorsal point of intersection of the cerebellum with the occipital lobe circle. (f) centre of’ best fit’ occipital lobe circle placed on the cranial baseline (abi) and extending to encompass the occipital lobes. the centre of the circle is f and its diameter (f-diam) indicates the maximun height of the caudal calvaria dorsal to the spheno-occipital synchondrosis. (g) point at which the optic nerve deviates into the optic canal. (i) intersection point of the extended cranial baseline (ab) caudally with extended line dc ventrally to form angle 3. this indicates the relative positions of the supra and basioccipital bones to the atlas. (j) most rostral aspect of the dens of the axis bone. (k) extended line from point b along the best fit line of the ventral medulla oblongata to where it changes angle to the spinal cord (degree of medullary kinking). 8 angles measured are (1) afg, (2) fac, (3) dib, (4) jcb (5) aeb (6) ebd (7) bdi (8) dbk. * trait used in previous gb study [9].",,,,,,
,,,,,mri (coronal t2 weighted sequence) consistent with the diagnosis of we,,,,
,,,,,"mri, june 22, 2010. coronal cut.",,,,
,,,,,mri coronal view showing narrowing of the oropharynx due to the membrane (shown by arrow),,,,
,,,,,,,,,"magnetic resonance scan of upper abdomen with and without contrast. this is a representative slice from the mri performed during the initial patient hospitalization with the following details. procedure date: february 24, 2013. findings: there is a nonenhancing complex cystic lesion in segment 8 of the liver, which contains numerous serpiginous internal septations, small foci of fat and fluid. no additional lesions identified. there is no evidence of intra or extra biliary ductal dilation. the gall bladder is normal. the pancreas, adrenals, and kidneys and spleen are unremarkable. no contrast extravasation into the cyst is seen on the hepatocyte phase images. there is no mesenteric or retroperitoneal lymphadenopathy. the visualized bowel is unremarkable. impression: cystic liver lesion containing small foci of fat is most likely an echinococcal cyst."
,,,brain magnetic resonance imaging (mri) showing long t2 signal in the saddle area in a 45-year-old man hospitalized due to headache and vision disorder.,,,,,,
,,,,,"mri after ten months. noncontrast t2 coronal image. pituitary gland is smaller, with minimal residual changes.",,,,
,,,"brain mri (t2 flair) presented a large geographic cerebromalatic change in left parietal lobe. mri, magnetic resonance imaging.",,,,,,
,,,diffusion-weighted mri of the brain of the second patient showing hyperintensities in the bilateral occipital lobe,,,,,,
,,,,,,"dwi mri sequence completed once the patient presented with delayed ischemic symptoms. there is evidence of restricted diffusion in dwi with hyperintensity in the adc map (not shown) in the same left middle cerebral artery vascular territory, indicating early subacute infarction.",,,
,,,,,mri with contrast. a coronal image of the pituitary macroadenoma as demonstrated by the arrow.,,,,
,,,,,,,,initial mri before start of therapy demonstrating a large tumor of the upper left abdomen infiltrating the mesenterium and the omentum majus.,
,,,"mri brain of case 1, t2 axial, arrow denotes pontine cleft (split pons sign) (c) mri spine of case 1, t2 coronal",,,,,,
,,,,,mri coronal view of bilateral elastinfibromas (orange arrows).,,,,
,,,,,"coronal post-contrast mri sequencesafter craniotomy at initiation of tmz treatment, showing decompression of optic chiasm and debulking of tumor",,,,
,,,"brain mri of the patient (2 months after onset) shows massive brainstem hemorrhage involving area from midbrain, pons to cerebellum in axial t2 weighted flair image.",,,,,,
,,,,,"quasi-coronal, t2 mri of normal left orbit demonstrating measurements of the immediately retrobulbar optic nerve diameter (on diam.), on sheath outer diameter, sheath thickness, and cerebrospinal fluid gap (subarachnoid space). diameters of circular structures were inferred from cross-sectional areas to achieve subpixel resolution, and circular symmetry with constant sheath and gap thickness was assumed. ir, inferior rectus muscle; lps, levator palpebrae superioris; lr, lateral rectus muscle; mr, medial rectus muscle; so, superior oblique muscle; sov, superior ophthalmic vein.",,,,
,,,,,mri of total empty sella: coronal weighted t1 image showing arachnoidocele intra-sellar,,,,
,,,a head mri at 5 months after starting crizotinib showed a left orbital metastasis with multiple brain metastases.,,,,,,
,,,close up image of t2wi mri brain image of multiple periventricular hyperintense lesions.,,,,,,
,,,mri brain-axial t2 flair showing left frontal lesion.,,,,,,
,,,mri of the brain showing pituitary macroadenoma compressing the optic chiasm.,,,,,,
,,,,,,,primar neuroradiological mri: blotchy melted lesions of high shadow intensity in parietal and occipital lobes,,
,,,,"abdominal mri, the left renal mass is evident.",,,,,
,,,,,,,,,mri showing caudal lesion of undifferentiated embryonal sarcoma of the liver mri: magnetic resonance imagingthe caudal lesion of undifferentiated embryonal sarcoma of the liver has been highlighted by the arrows.
,,,,the magnetic resonance imagery (mri) t1 of the pelvis showed bone oedema of symphysis pubis and abdominal muscles,,,,,
,,,mri of the brain revealed no masses which generally ruled out brain involvement (neurocysticercosis),,,,,,
,,,,,"preoperative mri scan. coronal t1w post-contrast image mri scan, showing a mass filling the anterior portion of the right ethmoid air cells. the mass demonstrates patchy enhancement, protrudes into the adjacent orbit, depicts soft tissue intensity, and enhances following contrast administration.",,,,
,,,,,ti post-contrast coronal mri of the orbits. there is a 0.7 × 1.4 × 1.9 cm mass in the right orbit indiscernible from the superior oblique muscle. this is isotense to skeletal muscle on t1 imaging and homogeneously enhancing after intravenous contrast,,,,
,,,,,case 1: imaging data of cno involving pelvis in a 12-year-old girl. coronal stir mri reveal increased signal in the right and left acetabulum,,,,
,,,,,,mri of the right hand showing a pseudosarcomatous mass encircling the ulnar artery.,,,
,,,,,,,,"cartilage invasion on mri. contrast fat-suppressed t1 image shows a large laryngohypopharyngeal mass invading preepiglottic (black asterisk), right paraglottic space (white asterisk) and right piriform sinus (thick arrow). intracartilaginous enhancement is seen of similar intensity as tumor with thin rim of extralaryngeal tumor (thin arrow)",
,,,brain mri after completion of 2nd line chemotherapy.,,,,,,
,,,mri of brain showing pituitary tumour,,,,,,
,,,mri image of patient ii. it indicates mild cerebellar atrophy in an axial image of brain mri,,,,,,
,,,,,coronal mri of the patient. this image shows the transplant kidney (arrow) and a distended bladder (dashed arrow).,,,,
,,,"brain mri, t2 sequence: multiple cortical and subcortical infracts in a vascular dementia patient",,,,,,
,,,an mri of the brain (t2 weighted images) showing right sided brain atrophy.,,,,,,
,,,,,coronal view of contrast-enhanced mri scan following resection.,,,,
,,,,,contrast coronal mri shows well-defined heterogeneously enhancing t1 hypo and t2 predominantly hyperintense lesion in the right cerebellopontine angle (white arrow).,,,,
,,,"mri brain when patient presented with symptoms: t1 sagittal sequence of brain mri show reduced mammillary body and pontine distance due to the descent of the mammillary body (arrow), crowding of posterior fossa due to brainstem descent, descent of cerebellar tonsils, sagging of tuber cinereum, inferior displacement of splenium and descent of the fastigium of the fourth ventricle",,,,,,
,,,,,"60-year-old female with swelling in upper arm. mri was done on 1.5 t siemen's machine. coronal mri, stir t2wi showing a well-defined lobulated hyperintense lesion with fibrous septae in the medulla and cortex. involvement of the soft tissue on medial and lateral aspect (arrow).",,,,
,,,"mri brain. axial t2 image showing multiple white matter lesions, especially in the corpus callosum. the arrows point to only two of several callosal lesions. early in the disease, callosal lesions are usually best seen on thin section sagittal flair and sagittal t1 images, with contrast.",,,,,,
,,,,,coronal section of a pelvic mri showing a urethral leiomyoma,,,,
,,,postoperative mri t1brain showed decompression of ventricles with presence of cm1,,,,,,
,,,,,coronal post-contrast mri sequencessequential tumor regression over eight cycles of tmz treatment. note the prominent reduction in tumor volume and gadolinium enhancement.,,,,
,,,,,"mri scan showing the presence of carotid plaque hemorrhage seen in a coronal section, (white arrow).",,,,
,,,mri brain,,,,,,
,,,mri scan of brain recorded on the 12th day of disease: bilateral hyperintensity in lateral thalamic regions (arrows).,,,,,,
,,,,,,,"transverse t2 weighted (t2w) mri section showing hyperintensity and marked heterogeneity of signal in a left frontal lobe oligodendroglioma. note extension of the lesion through the corpus callosum to the right frontal lobe (arrow), creating a “butterfly glioma” appearance.",,
,,,,,,,,"mri (axial t2-frfse fat sat). the well-circumscribed multinodular mass with heterogeneous intensity of this retroperitoneal liposarcoma. star for tumor, triangle for gelatinous components (2).",
,,,,,"mri t2 flair sequence (coronal section) performed during pregnancy, showing the small focus of calcification in the right parietal lobe with moderate surrounding edema. mr imaging performed at 1.5 t (tr/te: 8000/130).",,,,
,,,,,,,,axial fluid-attenuated inversion recovery mri image demonstrating tumor-related infiltration involving lenticular nuclei (arrow).,
,,,,lateral abdominal magnetic resonance (mri) image.,,,,,
,,,,,mri of pituitary (coronal view) (arrows showing the macroadenoma and stalk deviation).,,,,
,,,sagittal t1 mri of brain without contrast shows area of hyperintensity within the sella and suprasellar regions (red arrow). this likely represents pituitary apoplexy within the known macroadenoma.,,,,,,
,,,,"abdominal mri showing the largest cystic lesion (11 x 8.3 x 10 cm), which was exophytic.",,,,,
,,,,,follow-up mri obtained approximately three and a half months following initial imaging t1 coronal mri demonstrating complete resolution of the mass. the infundibulum is now visible and the optic chiasm is in its anatomic position.,,,,
,,,"axial t2 brain mri scan revealed infarction in the right temporal lobe, ischemia in the left posterior frontoparietal cortex and basal ganglia.",,,,,,
,,,10-year-old girl with klippel trenaunay syndrome. (c) sagittal t1 weighted mri of the brain shows the undulated borders of the perisylvian cortex posteriorly representative of polymicrogyria (arrow).,,,,,,
,,,,,t2 weighted coronal mri scan showing partial tearing of the supraspinatus tendon attachment. no full thickness tear or retraction is identified,,,,
,,,mri brain plain. arrows show prominence of ventricular system. mild prominences of sylvian fissure and sulcal spaces indicate hemi atrophy,,,,,,
,,,post-treatment mri. most recent enhanced t1-axial mri of the brain showing an enhancing lesion of the left cerebellopontine angle with a smaller maximum diameter than prior to gamma knife treatment.,,,,,,
,,,,,,,,,"mri liver showing t2 hyperintense nodules throughout the liver with delayed enhancement, and large t2 hyperintense lesion in segments vi and vii containing multiple smaller lesions with delayed enhancement."
,,,,,,,axial t1 weighted contrast enhanced mri image demonstrating ring-enhanced lesion of the left temporal lobe,,
,,,axial contrast enhanced t1w mri of brain of 52-year-old male shows left frontal parenchymal arteriovenous malformation associated with large ipsilateral temporo-parietal bleed. the avm nidus is seen as multiple intensely enhancing round and serpentine lesions with enlarged subependymal and superficial cortical draining veins. the arterial feeders were from left middle cerebral artery,,,,,,
,,,,mri at 21 weeks of gestation. arrows show location of intra-abdominal bleeding.,,,,,
,,,,,coronal mri taken before surgery. multiple gallstones are visible in the gallbladder.,,,,
,,,,,,,"the mri scan shows the presence of a tumor in the posterior part of the right frontal lobe. the tumor absorbs the contrast medium, in its interior it can be seen an area of necrosis,and it is surrounded by cerebral edema.",,
,,,,,,,"magnetic resonance imaging (mri) of a patient with recurrent glioblastoma multiforme (gbm) in the right temporal lobe. (a), external; (b), profound; and (c), intermediary (as in according to the tumor’s center) area of the gbm.",,
,,,,,"angio-mri (coronal section) of the supra-aortic vessels after injection of 20 cc of gadolinium in a woman aged 24 with eds type iv, revealing a dissecting haematoma of the left internal carotid (black arrow), a bilateral dissection of the vertebral arteries in their v1 and v2 segments (white arrows) and a dissection of the middle and distal third of the right subclavian artery (head of arrow).",,,,
,,,,,,"diffusion mri scan at 27 days after the endovascular treatment. the patient's hemiparesis was aggravated, so we rechecked diffusion mri again. in follow-up mri, acute ischemic stroke was found in the territory of the left acha. mri = magnetic resonance imaging; acha = anterior choroidal artery.",,,
,,,,,,,,mri thoracic spine showing local invasion of tumor.,
,,,brain magnetic resonance imaging (mri) in b1000 diffusion sequence showed a restriction of diffusion in the damage areas of the white matter.,,,,,,
,,,precraniotomy mri t2wi showing the isodense lesion with brain fungus. the brain parenchyma is normal. there is a thin layer of csf between the brain and the lesion,,,,,,
,,,,abdominal mri at 23‐weeks' gestation identified multiple t2 hyperintense and t1 hypointense lesions in the liver.,,,,,
,,,,,"10-year-old girl with recurrence of chondroblastoma. mri of the right hip. (a) axial fat-saturated t2 (tr 4000/te 89), (b) coronal t1 (tr 650/te 13), and (c) axial postgadolinium fat-saturated t1 (tr 566/te 13) mr images of the right hip. enlarging relatively hypointense t2 and t1 lesion (arrows) in the soft tissues posteromedial to the greater trochanter, with an associated joint effusion and inflammatory changes in the soft tissues and bone. postgadolinium, the lesion demonstrates enhancement that is less intense than the surrounding inflammatory changes in soft tissues and bone.",,,,
,,,,,"postoperative coronal mri scan of the left knee at 16 months demonstrating an intact, well-tensioned reconstruction with no signs of complications.",,,,
,,,patient 3 mri brain t1wi + contrast upon admission,,,,,,
,,,subcortical vascular dementia type of vascular dementia on fluid attenuated inversion recovery (flair) brain mri.,,,,,,
,,,,,a 75-year-old man with pseudo liver capsular retraction. coronal t2w tse not fat-suppressed mri in this patient followed for colonic adenocarcinoma shows pseudo retraction adjacent to ribs (arrow) and diaphragm (arrowhead).,,,,
,,,,,coronal mri showing the extent of the lipoma and vessel-like structure traversing it (arrow).,,,,
postoperative chest wall mri.,,,,,,,,,
,,,,,,,"single parenchymal cysticerci in right parietal lobe (mri fast imaging employing steady-state acquisition, fiesta).",,
,,,"parasaggital slice in a veterinary epilepsy-specific protocol for 1.5 t mri scanner. t2w parasagittal image of the brain demonstrating a planned sequence parallel (yellow dotted line) and perpendicular (red solid line) to the long axis of the hippocampus. images obtained in a 1.5 t mri (siemens symphony, erlangen, germany)",,,,,,
,,,,,coronal mri view after 26 months follow up.,,,,
,,,,,,,mri head – encephalomalacia of left frontal lobe.,,
,,,posttreatment axial mri image of the pons with complete ablation of the pontine metastasis and no further visible disease within the brainstem.,,,,,,
,,,mri brain axial view post-gadolinium contrast images showing multiple cysts of neurocysticercosis in varying stages of development,,,,,,
,,,,,,,,"mri t2 weighted image. a tumor extending from the hepatic hilum to left hepatic duct (arrow) with a complete obstruction of the bile duct confluence, and separation of b1, b2, b3 and b4.",
,,,mri brain post-contrast showing a heterogeneously enhancing space occupying lesion in the lateral ventricles with extension into the foramen of monro with obstructive hydrocephalus,,,,,,
,,,,,coronal mri showing an abscess in the caudate lobe of the liver causing extrinsic compression of the intrahepatic part of the inferior vena cava.,,,,
,,,,,mri abdomen and pelvis t2 weighted sequence coronal view demonstrating well-defined heterogeneous mass within the perineum.,,,,
,,,"mri brain, axial view, showing t2 hyperintensity in the left thalamus that is extending into the corona radiata",,,,,,
,,,,mri with gadolinium prior to initial surgical explorationa posterolateral gallbladder mass extending to the abdominal wall muscle and liver.,,,,,
,,,,abdominal mri showing multiple hepatic nodules,,,,,
,,,,,t2w-weighted coronal image shows absence of altered signal in the dentate nuclei in follow-up mri,,,,
,,,,"abdominal mri, the left renal mass is evident.",,,,,
,,,,,,,,preoperative mri sagittal t1w-tse c+ showing the craniocaudal extension of tumor.,
,,,brain mri showing multiple infratentorial lesions.,,,,,,
,,,,,,,,"postoperative (8-month) follow-up t1-wi axial mri demonstrates recurrent local tumor, likely from anaplastic astrocytoma component, and distant spread to the anterior part of corpus callosum.",
,,,,,"coronal t2 weighted mri shows diffuse increased signal intensity in the white matter, in the supra- and infratentorial regions. symmetric increased signal intensity is seen in both hemispheres.",,,,
,,,mid-sagittal t1 weighted mri of the brain shows tonsillar herniation to the level of c3. there is effacement of the fourth ventricle and triventricular hydrocephalus.,,,,,,
,,,,,,bilateral carotid vasculitis. angio-mri showing straight stenosis of the left carotid artery and inflammatory aspect of the right carotid artery (white arrows).,,,
,,,brain magnetic resonance imaging (mri) after gadolinium injection showed a non enhancing hypo-intensity image in (t1- sequence) beyond the white matter.,,,,,,
,,,,,coronal t1 mri of right foot large subcutaneous soft tissue lesion anterolaterally (arrow) with a large prominent proximal feeding vessel (arrow).,,,,
,,,repeat axial brain mri scan at 1 month.,,,,,,
,,,brain mri. coronal section (t1) at initial presentation. the arrow is pointing to right sov thrombosis.,,,,,,
,,,,abdominal mri reveals a cystic lesion measured 4 × 2 cm in mid portion of pancreas.,,,,,
,,,mri brain t2w axial image showing empty sella and flattening of posterior aspect of globe.,,,,,,
,,,,,coronal magnetic resonance imaging (mri) scan showing a well-defined 5.1×3.6-cm mass within the right infratemporal fossa (itf).,,,,
,,,,,,,,,"mri of the liver. september 2007, indicating multiple metastases."
,,,"magnetic resonance imaging (mri) of the brain revealed the loss of posterior pituitary bright spot, suggesting the diagnosis of central diabetes insipidus.",,,,,,
,,,"mri brain scan performed mid-treatment. the mri brain scan performed shortly after readmission with acute neurological symptoms, demonstrates a number of ring-enhancing lesions with surrounding oedema which were thought likely to be metastases.",,,,,,
,,,,,,,,mri of the abdomen showing normal appearance of the left renal pelvis in which high-grade transitional cell tumor was discovered on ureteroscopy.,
,,,"mri scan of the brain, showing a mass suggestive of metastatic choriocarcinoma, in a 32 year-old patient presenting with headache, speech articulation disorder, and dysphagia.",,,,,,
,,,,,,,,a 54 year old woman with auto-immune hepatitis on treatment with azathioprine for five years who presented with sub-acute neurologic symptoms of right facial drooping and loss of vision in the right eye. mri revealed a ring-enhancing pontine lesion. pathological examination proved this to be large b-cell primary central nervous system lymphoma (pcnsl). the imaging characteristics of the tumor were that of a ring-enhancing mass typical of pcnsl found in hiv patients.,
,,,two-month-old patient. brain mri coronal flair image shows atrophy of the entire left hemisphere with compensatory ipsilateral midline structure shifting.,,,,,,
,,,"mri of our patient's brain. mild cortical atrophy with bilateral lacunar ischemic lesions and gliosis in the cerebral white matter, mainly in the semi-oval center and the corona radiata.",,,,,,
,,,,,,,liver mri with hemorrhagic infraction of distal vessels of right lobe of the liver.,,
,,,,,,,,"gtr status was achieved in a 60-year-old male patient, the postoperative mri of whom revealed no tumor remnants but did exhibit a regularly shaped pituitary gland and granulation tissue (excluding the stalk; green area).",
,,,,,t1 contrast coronal mri image showing diffuse enhancement with thickening of meninges,,,,
,,,brain mri - increased signal in flair images in the withe matter territories adjacent to the lateral ventricles bodies and subcortical zone,,,,,,
,,,t2 weighted image of mri brain showing multiple metastatic lesions,,,,,,
,,,mri brain (t2 weighted) showing hyper intensities in bilateral basal ganglia,,,,,,
,,,,,subtracted maximum intensity projection coronal post contrast mri showing dilated left pelvic collaterals.,,,,
,,,,abdominal mri shows gda aneurysm with contrast in the duodenum.,,,,,
,,,,"abdominal mri, coronal view, on day five of life showing low signal intensity of the liver parenchyma with preservation of the signal intensity of splenic parenchyma (t2wi protocol). calculations of t2∗ showed rapid decay consistent with iron overload.",,,,,
,,,,abdominal fat area (masked in yellow) was measured from t1 weighted transverse abdominal mri at the level of umbilicus using segmentation technique. l = lumbar vertebral body; p = psoas muscle; sf = subcutaneous fat; u = umbilicus; w = abdominal wall muscles.,,,,,
,,,,,coronal mri t2 fat-suppressed image demonstrating low-grade muscle strain of the left biceps femoris.,,,,
,,,dwi tractography findings. dwi tractography seeded from coordinates of maximal activation on fmri to the brainstem (r side of brain appears on l side of image).,,,,,,
,,,,,coronal fatty suppressed mri reveals a focus of chronic calcification with associated full-thickness supraspinatus tendon tear (white arrows),,,,
,,,,,mri (coronal section) showing relationship of the parosteal lipoma to the underlying radius and the adjacent muscles of the forearm,,,,
,,,,,coronal slice of mri showing carpus.,,,,
,,,,,mri t2w coronal images,,,,
,,,brain mri showing hypointensity of the right fronto-polar region on t2* image,,,,,,
,,,,,coronal t2 fat saturation mri showing hyperintense right femoral head and neck with minimal joint effusion and subchondral area involvement,,,,
,,,,,"coronal mri through the left ventricular outflow tract showing normal (solid arrows) and thickened pericardium (open arrow), visible as the black layer in between bright layers of pericardial and epicardial fat.ao=aorta; lv=left ventricle; pa=pulmonary artery; ra=right atrium",,,,
,,,,,,,"axial fluid-attenuated inversion recovery mri image demonstrating tumor-related infiltration involving both temporal lobes (short arrow), and the substantia nigra (long arrow).",,
,,,,,,,,,mri showed dilated extra hepatic bile duct and intrahepatic bile duct in left liver and no finding of anomalous connection with pancreatic duct
,,,,,coronal mri section revealing a 4.3 × 3.5 cm soft tissue mass at the level of the left thyroid lobe.,,,,
,,,brain mri illustrates a separate circular mass at the top of frontal region with hemorrhage in the right fronto-parietal and left cerebellar hemisphere and air fluid level in right maxillary sinus,,,,,,
mri coronal view of the abdomen and the chest. the right kidney appears in a subdiaphragmatic position.,,,,,,,,,
,,,"contrast-enhanced axial section of mri brain showing heterogeneously enhancing soft tissue in ethmoid sinus, orbital apex and causing compression of bilateral optic nerves (arrow)",,,,,,
,,,,,,,,postoperative mr imagingpostoperative axial mri with contrast revealing the degree of resection. the pons is completely decompressed. the arrow is depicting a small tumor residual posterior to the cavernous sinus region.,
,,,a girl with global developmental delay who presented with bilateral breast enlargement. t1wi sagittal mri of the brain (post-gadolinium dynamic protocol) shows an intrasellar lesion representing pituitary microadenoma (arrow).,,,,,,
,,,"initial mri brain (flair) showing bilateral frontal hyperintense white matter lesions, right > left.",,,,,,
,,,,,,,,,mri showing the 9-cm tumour of the right anterior section of the liver with extrahepatic development in patient 3.
,,,,,,,,postoperative sagittal t1 mri shows gross total resection of the tumor,
,,,"two-hour postoperative brain mri diffusion shows temporo-occipital intracerebral hemorrhage (ich), left posterior temporal ich, right cerebellar subarachnoid hemorrhage (sah), and bilateral frontotemporoparietal sah.",,,,,,
,,,"mri of the brain: the vascular malformation, in the left occipitotemporal region.",,,,,,
,,,"mri of the brain showing ring-enhancing lesions, largest measuring up to 3.4 × 1.9 cm in the left superior frontal lobe",,,,,,
,,,,,traumatic fracture of the greater tuberosity in a 51-year-old man presenting with left shoulder pain after a fall on ice. initial radiographs were normal. coronal inversion recovery mri shows a fracture line (arrow) through the greater tuberosity surrounded by a bone marrow edema pattern.,,,,
,,,,,mri (coronal t1 gadolinium): left dorsal paravertebral tumor (t7–t9) (a) and left dorso-lumbar paravertebral mass (b) with epidural compression (c) through infiltration via intervertebral foraminae (t12–l2). bilateral nodular nephromegaly (d).,,,,
,,,,,,,,,"hepatosplenomegaly and liver steatosis on mri scan of an adult patient diagnosed with cholesterol ester storage disease.abbreviation: mri, magnetic resonance imaging."
,,,,,t2-coronal mri section shows the intraconal cystic spaces with extraconal extension (white arrows).,,,,
,,,,,,diffusion weighted mri showing increased signal in a superior division middle cerebral artery branch territory.,,,
,,,,,,,,mri showing a 6 cm × 7 cm retrorectal tumor (♣).,
,,,,,coronal mri taken after ecswl. the gallstone remains visible in the gallbladder remnant.,,,,
,,,,,"coronal, fat-saturated tse t2w mri image after therapy (4 weeks later) shows a mild decrease in the perilesional edema (arrow)",,,,
,,,,"coronal t2 abdominal mri demonstrating multiple, large, multi-loculated cystic hepatic masses and significant hepatomegaly.",,,,,
,,,,,,,t1 lava flex breath hold magnetic resonance imaging (axial)t1 lava flex breath hold magnetic resonance imaging (mri) of abdomen axial view demonstrates diffuse t1 hypointense signal through the right hepatic lobe with central areas of t1 hyperintensity (arrow). these findings represent central necrosis and hemorrhage.,,
,,,stroke in a patient affected with fabry disease: axial brain mri section showing stroke of the left cerebellar hemisphere that revealed fabry disease in an otherwise asymptomatic 27-year-old male patient.,,,,,,
,,,brain mri. axial section (t2) at initial presentation. the arrow is pointing to decreased signal within right superior ophthalmic vein thrombosis.,,,,,,
,,,,,coronal t1 weighted mri with contrast: odontoid process and vertebral body duplication,,,,
,,,,,pre-operative mri coronal view of case patient showing local cancer recurrence involving left pelvis and surrounding the saddle prosthesis.,,,,
,,,,,,,mri abdomen: lipomatous tissue anterior to the liver and between the right lobe of the liver and the right kidney.,,
,,,,,,,,,mri of abdomen showing large space occupying lesions in liver
,,,,,fat-suppressed proton-density-weighted (fs-pdw) magnetic resonance imaging (mri). fig. 5 a (sagittal plane) – signs of degeneration of anterior cruciate ligament with abnormal high signal intensity. fig. 5 b (coronal plane)– large arrows: lateral meniscus with degeneration and extrusion (tear not shown). b - arrow heads: bone marrow edema. b - small arrows: partial thickening of the medial collateral ligament on mri,,,,
,,,,,"this patient was investigated with magnetic resonance imaging (mri) after 12 months: the mri (t2, coronal plane) showed a deflated inspace balloon, which appears like a scar tissue formation in the subacromial space (white arrow)",,,,
,,,,,,,,"magentic resonance imaging (mri) at 11 months post anti-tumor therapy (july, 2012) revealing no evident thickening of the nasopharyngeal wall (arrow).",
,,,,,,,"hyperintense radial bands (black arrow) extending linearly at the level of the right cerebral hemisphere and a cortical tuber (short white arrow) located at the left parietal lobe in an axial flair mr image in a case with tuberous sclerosis complex. in addition, mri showing a subependymal nodule (thin black arrow).",,
,,,postoperative sagittal t1 mri of brain without contrast shows resolution of the prior areas of hyperintensity within the sella turcica (red arrow). the pituitary stalk is now visible (yellow arrow).,,,,,,
,,,"subsequent magnetic resonance imaging (mri), however, showed massive brain stem infarction",,,,,,
,,,saggital mri brain with a glioblastoma multiforme in a male farm worker,,,,,,
,,,mri brain of patient 2 showing atrophy of cerebellum.,,,,,,
,,,diffusion-weighted imaging (dwi) mri of the brain showing an acute svi involving the right thalamus (a) and an older svi involving the left internal capsule (b).,,,,,,
,,,,,coronal mri section demonstrating thin bilateral laminar heterotopia.,,,,
,,,,,33-year-old woman with fibrolipomatous hamartoma of the median nerve. coronal t1 (500/11) fse mri shows thickened nerve fascicles with high signal fat interspersed (blue circle). the mass displaces the flexor tendons.,,,,
,,,fluid attenuation inversion recovery mri image of the brain demonstrating focal high signal in the posterior left parietal lobe in the same location as the ring enhancing metastasis in fig. 2.,,,,,,
,,,,,september coronal mri enhancing mass,,,,
,,,,abdominal mri imaging. multiple nodular lesions in the liver were demonstrated by fat-suppression mri.,,,,,
,,,,,,,axial t1-wi mri demonstrating mass effect and infiltration to the temporal lobe with vasogenic edema.,,
,,,,,coronal t2 weighted mri image of a knee with a chronic acl tear with a deficient medial meniscus and medial compartment osteoarthritis.,,,,
,,,flair mri brain showing high signal abnormality in the floor of the fourth ventricle.,,,,,,
,,,mri brain showing lesion in right cerebellum suggestive of haemorrhage or an abscess.,,,,,,
,,,brain mri showing cerebral and cerebellar atrophy.,,,,,,
,,,,,,,,55-year-old woman with secondary tumoral calcinosis. sagittal stir mri shows intra-osseous penetration into the intramedullary cavity of the proximal humerus and fluid-calcium levels.,
,"mri appearance of normal fetal kidneys. sagittal t2-ssfse of a fetal abdomen at 25 wg: note the size and the signal appearance of the normal kidney between the two arrowheads. the fluid-filled urinary bladder (white arrow), the adequate volume of the amniotic fluid, and the developing lungs (black arrow) indicate good renal function. note that the urinary bladder can occupy a considerable portion of the abdomen as a normal finding.",,,,,,,,
,,,pretreatment brain mri.,,,,,,
,,,,,,,,"mri images of the lesion. the solitary lesion at the fourth hepatic segment is (a) hypointense on t1wi and (b) hyperintense on t2wi. the dynamic gadolinium-diethylenetriaminepentaacetic acid mri protocol showing a (c) mild ring-like enhancement during arterial phase, (d) continued and prominent enhancement in portal venous phase, and (e) that the enhancement of the tumor has decreased in the delayed phase, and that the septum is enhanced. mri, magnetic resonance imaging; wi, weighted image.",
,,,sagittal t2 magnetic resonance imaging (mri) of the brain (05/01/2015),,,,,,
,,,coronal fluid attenuation inversion recovery (flair) mri showing gray area of high signal in posterior brain within the cortical area and subcortical white matter of right occipital lobe.,,,,,,
,,,,,cephalic antenatal fetal mri. coronal t2. cysts of the caudate nuclei.,,,,
,,,axial t2 image of mri brain showing face of giant panda sign typical of wilson's disease,,,,,,
,,,"brain mri film. multiple sites of cerebral infarction were identified. however, no brain metastasis was observed.",,,,,,
