chest,lung,lungs,brain,abdominal,coronal,artery,lobe,tumor,liver
chest x-ray pa view showing multiple nodular opacities,computed tomography shows regression of metastatic mass in the lung and no filling defect in the cardiac cavity,,"t1-weighted axial view showing mildly enlarged ventricles and a contrast-enhancing lesion in the posterior fossa, exerting mass effect on the brainstem","abdominal computed tomography showing multiple liver abscesses of a 28-year-old male homosexual who presented with right upper quadrant pain, vomiting, and watery diarrhea for 4 days.diagnosis of amebic liver abscess was confirmed by positive pcr for entamoeba histolytica of the liver abscess aspirate. the titer of indirect hemagglutination antibody for e. histolytica was 8192.",ct urogram (coronal urographic phase image) demonstrates a large polypoid mass arising from the bladder wall. this was confirmed to be a urothelial cell carcinoma following biopsy at cystoscopy.,"vagal paraganglioma in a 47-year-old man with sdhb mutation. contrast-enhanced ct, mip reconstruction, sagittal view shows an enhancing mass (arrow) causing displacement of the internal carotid artery anteriorly.","computed tomography scan shows fullness in the superior portion of orbit due to a well-defined, hypo-dense, peripheral rim-enhancing lesion in relation to left superior rectus muscle closely abutting the globe without any intra-ocular extension. the sagittal reconstruction shows a ring-enhancing lesion in the superior rectus, suggestive of an abscess. optic nerve was uninvolved. the, antero-posterior, cranio-caudal and transverse dimensions of the abscess were 2.0 cm, 1.2 cm and 1.8 cm respectively",postoperative whole-body positron emission tomography/computed tomography (pet/ct) scan showing no tumor recurrence (3 months after the operation).,another section through the liver and spleen.
a kink in a chest drain that failed to evacuate the right-sided pleural effusion.,lung mass seen on ultrasound.,,an 11-month-old female patient with gm2-gangliosidosis with bilateral thalamic involvement int2 sequence of the brain mri,contrast enhanced abdominal ct scan shows an empty renal lodge on the left side with voluminous retroperitoneal lymphadenopathies pre- and retroinferior cava rolling the inferior vena cava and the right renal vein.,"image of the acoustic shadow from an intrauterine device (iud) (lippes loop).the type of iud was identified by its acoustic shadow in a 41-year-old woman by placing the z-plane just below the endometrial echo. reconstruction to the coronal plane shows the acoustic shadow of the iud, revealing the type of iud.",ergonovie provocation test shows diffuse 50% stenosis in the left circumflex artery.,liver ultrasound in case 2 demonstrated a clear heterogeneous echo (38 mm × 35 mm) in the right lobe of liver.,"computed tomography (ct) plain scanning images demonstrate that the 125i seed seeds (black arrow) were implanted around the tumor during the ct-guided 125i seed brachytherapy (0.5 mci, range dose, 60 gy).","multiple occupied lesions in the liver, considered metastases."
computed tomography (ct; axial view) of the chest showing left-sided pleural effusion and a calcified pericardium (arrows).,computed tomography scan taken of a patient with a lung abscess that required surgical removal.h. influenzae was isolated from the lung tissue.,,"magnetic resonance t1 image. a round-shaped, well-limited lesion, with contrast enhancement, located in the right striatum besides the the lateral ventricle with compressive effect on the brain parenchyma and adjacent structures deviation midline approximately 8.0 mm. surrounding edema is observed",abdominal wall mass arising from the right rectus abdominis.,"tracheal tumor in a 54-year-old man. the histology of this tumor was not confirmed because its hypervascularity, as revealed by bronchoscopy, precluded biopsy. coronal mpr image demonstrates the extent of concentric wall thickening of the trachea (arrows).",axial image of the right temporal bone showing abnormal posterior course of the right internal carotid artery – aberrant right internal carotid artery coursing through the middle ear,"mri of the cranium revealed infarct areas of posterior limb of capsula interna, right globus pallidus, left occipital lobe and bilateral thalamus.",postoperative mri of a 55-year-old male patient revealed an irregularly shaped residual tumor with cs invasion after str (green area).,"non-contrast computed tomography of the abdomen on admission showed generally decreased liver parenchymal attenuation and mild ascites (arrow), compatible with acute hepatitis."
chest roentgenogram 43 hours after admission with worsening airspace disease and air bronchograms,still frames from steady state free precession cine loop showing lung tissue interposition between the inferior myocardial wall and the diaphragm (white arrow). original cine loops published online (movie 1),,pre operative ct scan brain,contrast-enhanced ct scan reveals mesenteric varices (arrow) feeding the abdominal wall vein. all varices were directly connected. there is thrombosis in the mesenteric vein (arrowhead),"coronal t1-weighted mr image of the wrist, demonstrating an oblique line of low signal intensity, corresponding to the sclerotic line seen on the radiograph. [powerpoint slide]","single coronary artery and double lad arteries. coronary angiography in a caudal right anterior oblique view shows all coronary arteries arising from right sinus of valsalva with a common trunk. lad2 (arrows) arises from the rca (arrow) and then turns sharply down the anterior interventricular sulcus. lad (arrow) forms a short vessel, which produces both septal perforators and diagonal branches.lmca – left main coronary artery, cx – circumflex artery, lad – left anterior descending artery, rca – right coronary artery",right lobe hepatocellular carcinoma pre-resection,ultrasonography also showed a tumor of 10 mm in diameter in the cystic duct.,"49-year-old man with metastatic gist. contrast enhanced axial ct scan through the liver 8 weeks after treatment with imatinib, shows two adjacent liver lesions that show cystic areas within them."
"chest x-ray pa view; on the day of admission, showing homogeneous opacity right mid and lower chest",pet image showing intense signals on the upper lobe of the right lung (yellow arrow).,,planned micro electrode recording trajectories (light blue) and final electrode outcome revealed by pacer (red) one day after surgery with brain shift still present.,abdominal x-ray—multiple air fluid levels.,post-contrast coronal ct image showing the same enhancing heterogeneous lesion (arrow),"sba without anastomosis in a 51-year-old woman with a meningioma. the radial artery branches off from a point in the central third of the brachial artery. the sba persisted without formation of an anastomosis between the sba and the brachial artery. if the sba is as broad as it is in this case, the procedure can be continued without interruption, but if it is narrow, then it should be continued after interarterial infusion of vasodilator at this site.",showing an ultrasound scan with an onsd of 7.5 mm measured 3 mm posterior to the globe.,"sagittal t1-weighted mri image. a presacral tumor with low signal intensity is shown (red arrow). a fat plane can be seen between the tumor and the rectum, indicating that infiltration is not present (blue arrow).",splenic sarcoidosis. contrast-enhanced ct shows splenomegaly with innumerable hypodense nodules in the spleen (white arrowheads). multiple tiny nodules in the liver (black arrowheads) and few enlarged lymph nodes along the celiac axis (arrow) are noted in a patient with known sarcoidosis representing hepatosplenic involvement and lymph node enlargement.
"an axial ct scan of the chest, showing posterior wall thickening in the right main bronchus and a decrease in its caliber, as well as irregularities at the emergence of the right upper lobe bronchus.","ct (lung window, sagittal) showing the sequestrated segment.",,mri brain t1w image showing hypointensity in the splenium of corpus callosum (white arrow),transabdominal doppler interrogation of the uterine artery at the level of the internal cervical os. uterine artery waveform demonstrating raised pi with an early diastolic notch (arrow). reproduced with permission from associate professor f. da silva costa.,"a postoperative coronal ct image demonstrating well-aerated right maxillary and ethmoid sinuses without mucosal thickening with a patent ostiomeatal complex after right maxillary antrostomy, middle turbinectomy, and anterior and posterior ethmoidectomy.","right anterior oblique coronary angiographic image, showing a long dissection at the proximal portion to the distal part of the left anterior descending artery (arrows)",hepatic ct scan showing a well circumscribed cystic lesion of 6.5 × 6.0 cm located in segments iii of the left liver lobe.,"radiation necrosis masquerading as late tumor recurrence. five years after treatment for malignant ependymoma, axial post-gadolinium t1-weighted mri image showed stable post-treatment changes and no residual or recurrent tumor. [powerpoint slide]",computed tomography scan demonstrating large homogenous liver cyst
baseline chest x-ray showing opacity involving the right middle and lower lung,"lung sonography showing a small nodular lesion (arrow) in the pulmonary parenchyma (dog 101, site b)",,"arrangement for electrical stimulation and fcv recording in striatal brain slices. the striatum is easily identified by its anatomical location and the distinct fiber bundles in horizontal brain slices. local electrical stimulation in the striatum was delivered using a bipolar tungsten electrode. the two tips of the stimulating electrode were ~150 μm away from each other and from the carbon fiber microelectrode (cfm) tip. gp, globus pallidus; ic, internal capsule; sp, septum.",abdominal ct showing the intrajejunal location of the band. the superior arrow shows the connecting tube while the lower arrow shows the banding.,a coronal section on ct scan demonstrating left parotid mass.,the image shows the common carotid artery (cca) wall motion at the specific time point shown in the ecg recording. the vectors indicate the direction and magnitude of the cca wall motion in the longitudinal and radial direction.,computed tomography (ct) suggestive of heterogeneously enhancing lesion in close proximity to superficial lobe of right parotid gland without invasion of the adjacent structures,"sagittal ct cut showing the extensive destruction of the left maxilla, and the left paranasal tissues. the left orbit is filled with tumorous tissue.",us picture of a 13 cm mixed echogenic mass seen above the right kidney and posterior to the liver.
regression of nodular lesions at the postoperative 2nd month follow-up chest x-ray following chemotherapy.,panoramic radiograph of right lung shows (arrow) parathreacheal lymphadenopathy profile in the current case with non-small cell lung carcinoma,,mri brain t2-weighted imaging showing underlying normal brain structure.,"a massive conglomerate of periaortic, aortocaval lymph nodes and retroperitoneal necrotic mass measuring up to 14.4 cm, which encases the abdominal vasculature.","nearly 4-year-old boy with fhi. coronal t1 sequence reveals an ill-defined, hypointense, subcutaneous mass in the precalcaneal region (arrows). the skin marker slightly distorts the normal anatomy in this region.",renal angiography is showing left accessory renal artery,elastogram of right thyroid lobe 3.2 cm solid nodule. real-time applied transducer pressure analyzed by numeric scale displayed at the right upper corner of the elastogram image (red box).,t2-weighted axial images show hypointense tumor focus (arrow) in the left basal peripheral zone. organ-confined cancer was confirmed on surgical histopathology,focus of hyposteatosis in the liver parenchyma
a high-detail oblique view of the ribs of a 6-month-old infant shows multiple healing posteromedial rib fractures (arrowheads). the level of detail in this image is far greater than what would be present on a standard chest radiograph.,"ct post-contrast study of the thorax, lung window. right to the left of the image and dorsal to the top. a homogeneous contrast-enhancing nodule (arrow) is present within the accessory lobe. there is consolidation of the left caudal lung lobe (arrowhead)",,sagittal gd-enhanced brain mri after 5-course chemotherapy shows complete disappearance of the tumor.,urgent abdominal computerized tomography (ct) showed an enlarged spleen and splenic hematoma with the presence of free intraperitoneal fluid.,"coronal view of non-contrast-enhanced ct. a poorly marginated lesion with soft tissue density was observed in the superior nasal septum, invading the bone in the anterior cranial fossa. a mass with soft tissue density is apparent in the left maxillary sinus",angiogram demonstrating coiled pulmonary artery pseudoaneurysm,contrast enhancing infarction in occipital lobe (arrow),computed tomography of abdomen and pelvic region with contrast medium: partially solid and partially necrotic tumor of the left kidney with infiltration of the left renal vein and slight involvement of the inferior vena cava.,mri showing caudal lesion of undifferentiated embryonal sarcoma of the liver mri: magnetic resonance imagingthe caudal lesion of undifferentiated embryonal sarcoma of the liver has been highlighted by the arrows.
chest radiogram: normal,"radiograph of case 11 shows multiple abnormalities of the thoracic vertebrae with hemivertebrae, fused vertebrae, and fusion and bifurcation of the ribs. segmentation anomalies appear throughout the majority of thoracic spine. thorax is asymmetrical, and has mild scoliosis. the right lung is somewhat smaller than the left. note that despite multiple vertebral segmentation defects, a “crab-like” thoracic spine is not evident. the radiograph shows asymmetrical abnormalities of the vertebral bodies and ribs, but not the symmetrical posterior fusion of the ribs so characteristic of spondylothoracic dysplasia.",,cta brain coronal image demonstrating diminutive right posterior communicating artery.,abdominal computed tomography (ct) showing bowel tethering posterior to lobulated fluid collection on retraction of the root of the mesentery (red arrow).,coronal t1-weighted mr image shows an absence of the optic chiasm (arrow).,sagittal sonographic image of the gastric antrum. a = antrum; p = pancreas; l = liver; sma = superior mesenteric artery; ao = aorta,". a 35-year-old healthy woman complained of a palpable and slowly growing mass in the left periauricular region for 3 years. contrast-enhanced computed tomography scans showed a round, well-defined, hyperdense solid mass with homogeneous enhancement in the superficial lobe of the left parotid gland.","ct in the axial plane after intravenous administration of iodinated contrast. there was contrast uptake by the lesion in the portal venous phase, predominantly in the periphery of the lesion. the tumor was hypovascular in the arterial phase of contrast perfusion (not shown). small areas of intralesional necrosis were present. the peripheral margin of the lesion was blurry (arrows). these characteristics were suspicious for a malignant biological behavior of the tumor. dilatation of the left gonadal vein was seen (°) due to extrinsic compression.",identification of liver segment and measurement of lesion (prior to rfa).
preoperative chest x-ray: essentially normal.,18f-fluolodeoxyglucose positron emission tomography (fdg-pet) showing the abnormal uptake of fdg at the apex area of the left lung.,,the brain mri shows residual hematoma in the right basal ganglia and an additional mass lesion in the splenium portion of the right corpus callosum.,anterior abdominal abscess with calcified objects.,"coronal non-contrast t2 mri image of mediastinal mass coronal non-contrast t2 stir (short tau inversion recovery) image shows a heterogeneous, mixed solid and cystic mass in subcarinal location causing elongation and at least moderate narrowing of the left main bronchus (arrow).",orthogonal views obtained by magnetic resonance imaging showing narrowing long segment narrowing of the left pulmonary artery (arrowhead).,the tubogram shows a well-placed pigtail catheter in the left hepatic lobe and drainage of bile into extrahepatic duct.,case 1- mri defines the margins of the tumor.,"control ct abdomen scan after eight weeks of amt treatment. early arterial examination time, showing liver cirrhosis after transarterial chemoembolization. tl1 disappeared."
chest x-ray showing widening of the right paratracheal stripe.,"axial ct image demonstrating pulmonary mass in right central lung, multiple irregular nodules scattered in bilateral lung and right pleural effusion at the time of diagnosis",,"axial brain computerized tomography exhibiting diffuse cortical atrophy, prominent sulci, and ex vacuo ventricular enlargement.",case 1: abdominal magnetic resonance scanning demonstrated cirrhosis with high density hypersplenotrophy splenomegaly.,"ct coronal reconstructions of wrist. magnification of erosions of triquetrum, hamate, capitate and trapezoid. each area was automatically obtained by defining the contour of the erosion.","one week after operation, color doppler ultrasound shows the signal of blood stream from proper hepatic artery into portal vein. a: portal vein, b: inferior vena cava, c: blood stream from proper hepatic artery into portal vein, and d: proper hepatic artery.",t1-weighted parasagittal magnetic resonance image demonstrating a hypointense lesion in the left temporal lobe (open arrowhead),"mri showed a high-intensity signal for the vx2 tumor (white arrow) on diffusion images, allowing clear visualization of the boundary. no necrosis with low-intensity signals was detected for the vx2 tumor prior to treatment.",a non-contrast ct axial view of the abdomen showing an upper pole mass of the right kidney with close contact with liver.
chest radiography shows a soft tissue lesion at left apex.,"on coronal ct image, emphysema and parenchymal scars were seen in the lower lobe of the right lung.",,"mri of the brain. dwi shows no restricted diffusion at the left medulla which correlates to increased diffusion in adc.abbreviations: adc, apparent diffusion coefficient; dwi, diffusion-weighted imaging; mri, magnetic resonance imaging.",abdominal radiography of the neonate (day 1) showing dilated bowel loops.,"coronal multiplanar reformat of spk transplant, in the portal venous phase of enhancement. duodenal staple line (black arrows), ureteric stent (grey arrow), renal (grey asterisk) and pancreatic transplant (white asterisk), donor portal vein anastomosed to ivc (black asterisk), splenic artery (white arrow)","short axis of the great vessels (rv, right ventricle; pv, pulmonary valve; pa pulmonary artery; ra, right atrium; ao, aorta)",mri: the caudate lobe showed compensatory hypertrophy after operation.,cystadenofibroma of the ovary/partial borderline tumor in a pregnant patient (week 22 of gestation) with a typical morphology for a borderline tumor on mri. the patient was operated during pregnancy (week 24 of gestation).,"fvf map of the liver of a 54-year-old woman from the t2dm group. square-shaped rois (10 × 10 mm2) were manually drawn on each of 8 hepatic segments, avoiding vascular and biliary structures. roi-1: segment ii; roi-2: segment iv; roi-3: segment viii. key scale on the right represents fat percentage. fvf, fat volume fraction; roi, region of interest; t2dm, type 2 diabetes mellitus."
high-resolution computed tomography image of the chest at presentation (middle-lung zones). a mass-like lesion with nodules in the right (red arrows) and left (yellow circles) lung is shown.,october 2006: the ct scan showed an increase in the number and size of bilateral multiple lung metastases.,,diffusion-weighted images mri brain: areas of restricted diffusion in the region of the brain stem,"abdominal angio ct coronal reconstructed image revealed; marked discrepancy of the bowel wall enhancement between the distal ileum and right colon, and the proximal ileal loops and left colon, denoting arterial ischemia.","mri coronal view shows perineural enhancement of the right maxillary nerve (arrow), and enhancement around cavernous sinus and the meckel cave","coronary angiography. there was no significant stenosis in left coronary arteries. right coronary artery could not be examined due to failure of catheter engagement. lad: left anterior descending artery, lcx: left circumflex artery.","imaging of ligamentum teres from fundus of the stomach. the transition between the pars transversa and umbilical segments of left portal vein (pv) occurs at the point where the vessel's direction changes. in this image, it is identified as the hyperechoeic area where the tributaries of segment 2 and 3 of pv converge. the ligamenteum teres can be seen going away from the screen in this position, and the ligamentum venosum is seen going towards the probe. the presence of middle hepatic vein in this figure divides the liver lobe into three segments",computed tomography finding of a large cystic tumor occupying the central liver and compressing the right hepatic vein (arrow) and the surrounding glisson pedicle (arrowheads).,a longitudinal image of the liver (head to the left) with the cat in dorsal recumbency and imaged from the right cranio‐ventral abdomen (8 mhz). this image demonstrates distended common bile duct and hyperechoic thickened common bile duct wall.
chest x-ray 1 week after discharge—complete resolution of pleural effusions.,"""crack lung"". a 24-year-old man with a recent history of crack use. hrct scan showing consolidations associated with ground-glass opacities.",,"sagital mri t1 weighted image of the brain and sella showing features of increased intracranial pressure in a 7-year-old boy, partial empty sella syndrome.","a 41 year-old man with long-term intermittent abdominal pain, bloating and vomiting. ultrasound study shows abnormal gastric dilatation with food retention (*) even though in fasting, preventing a proper assessment of retroperitoneal structures.","coronal t2-weighted mri of the abdomen in a 21-year-old man with dsrct. there is a complex lesion in the gallbladder fossa, which demonstrates a measurable soft tissue component with a peripheral myxoid degeneration. there is no direct invasion into the adjacent right lobe of liver. the soft tissue returns signal that is marginally higher than the adjacent hepatic parenchyma and isointense to the spleen, with characteristic t2 fluid signal returned from the cystic component","anomalous lca from pulmonary artery. lca is arising from pulmonary artery and was filing retrogradely via rca. both coronary arteries are enlarged, especially rca. lca: left coronary artery, rca: right coronary artery.","ct head with and without contrast showing an ill-defined hypodensity at the right medial temporal lobe causing mass effect and uncal herniation with surrounding vasogenic edema. abbreviation: ct, computerized tomography.",a contrast-enhanced computed tomography scan shows a mass within the right kidney and evidence of tumor thrombus within the inferior vena cava,"ct scan of the abdomen showing multiple loculated lesions within the liver, identified as possible metastatic lesions or pyogenic abscesses"
"chest x‐ray (posterior anterior view) of a 53‐year‐old man showing dextrocardia, with the cardiac apex pointing to the right.",collapsed right lung and hydropneumothorax (arrow).,,t1-weighted sagittal image of brain mri shows a cerebellar haematoma with a hemosiderin ring suggesting subacute haemorrhage.,"abdominal ct, coronal view: duodenal (d2/d3) endophytic polypoid, high density, heterogeneous lesion, with 26 mm.","mri examination performed at 25 months after surgery. t1-weighted image after contrast administration, coronal plane: in the sphenoid sinus there is the implanted muscle and fascia, the enhancement is slighter than in the last mri.","known dissection stanford type a with transmitted dissection membrane in brachiocephalic artery, subclavian artery on both sides, and left cca.",computed tomography (ct) scan of the neck and the thoracic outlet. this shows a large thyroid mass predominantly affecting the right lobe of the thyroid gland. the trachea has been pushed over to the left.,postcontrast t1-w axial mri image showing complete excision of tumor in follow-up,60-year-old female with suspected hepatic metastasis. same image as above in the liver window.
computed tomography chest showing left sided pleural effusion and apical pulmonary nodular opacity,the patient's lung lesions subsequently regressed to normal.,,sagittal section of the mri brain demonstrating the pituitary mass.,abdominal ct with contrast: partially thrombosed aneurysm of the abdominal aorta.,coronal multiplanar reformatted ct image shows pancreatic adenocarcinoma (m) with superior mesenteric vein encasement (arrow).,ct scan image showing thrombosis of the proximal portion of the superior mesenteric artery (arrow). a lack of contrast enhancement of the right kidney can also be appreciated.,"hrct of a patient presenting with a pneumothorax (arrowhead). the only parenchymal abnormality was the presence of a few small cysts, such as the one in the posterior segment of the right upper lobe (arrow). the patient was later diagnosed with lam",arteriography showing peripheral tumor in the lower pole of the renal allograft.,volumetrics of highlighted segments 5/8 demonstrate a future liver remnant of approximately 30%.
chest radiograph showing bilateral hilar prominence,"lung computed tomography during acute illness, showing bilateral diffuse interstitial changes and ground-glass opacities.",,angiography of the left anterior circulation of the brain—following thrombolysisantero-posterior view demonstrates a renewed flow in the left internal carotid artery and the left hemisphere.,double contrast abdominal computed tomography scan showed mild ectasia of pancreatic duct,coronal ct showing mycotic aneurysm of the infrarenal aorta with gas bubbles.,"incisal surface image of mpr (cross section) for measuring the short axis lumen cross-sectional areas of the mca during diastole and systole phases using the section area method. mpr, multiple planar reconstruction; mca, mural coronary artery.","map of the southern california bight including san clemente island and location of soar hydrophone array (perimeter outlined in white) in the southern san nicolas basin. (created using google earth and gps visualizer (schneider 2003), topographical data courtesy 2009 digital globe, us geological survey, county of san bernardino, sio, noaa, us navy, nga, and gebco)",axial contrast-enhanced spoiled gradient-echo 3d mr image depicts a tumor in the pancreatic body as a hypointense mass (arrow) relative to the enhancing normal pancreatic parenchyma.,"portal vein thrombosis. doppler ultrasound of the main portal vein following liver transplant shows echogenic thrombus within the main portal vein with lack of color-filling, consistent with portal vein thrombosis (arrows)"
contrast ct of the chest demonstrating a soft tissue mass in the l aorto‐vertebral recess.,"coronal maximum intensity projection (mip) image from fdg-18 whole body pet/ct scan demonstrates increased radiotracer activity in the distal right femur with multiple additional foci of uptake in the proximal humerus, soft tissues of the thigh, pelvis, and lungs.",,a computed tomography brain scan demonstrating bleeding into the tumor secondary to pituitary apoplexy (blue arrow).,"computed tomography showed scattered gas collection (arrow) over the left psoas, latero-vertebral muscles, fascias, and subcutaneous lower abdominal tissues",ct coronal view,axial contrast-enhanced ct angiogram image at the level just above the great vessel origins demonstrates near occlusion of the left vertebral artery (arrow) just after its takeoff related to aortic wall thickening.,ct scan revealing b/l interstitial opacities with air trapping and with right upper lobe consolidation,fdg-pet showed accumulation of tracer in the gastric tumor (arrow). no accumulation was observed in any other site,pet scan showing metastatic disease to the liver.
computed tomographic scan of chest showing multiple patchy ground glass opacities bilaterally with normal intervening lung parenchyma and small nodular opacities scattered in subpleural area,thoracic ct scan showing cavitary lesion in upper lobe of the right lung,,ct brain coronal section showing the lesion causing squashing of the ipsilateral frontal horn and compression (imaging done in 2011),"ultrasonogram of liver of a five-year-old sheep viewed from 10th intercostal space with a 3.5-mhz convex transducer showing the angle of healthy liver (40°), numerous homogenous weak echoes (grey in color). a, abdominal wall; d, diaphragmatic surface of liver; as, acoustic shadowing; v, visceral surface of liver; ds, dorsal; vt, ventral","male, 61 years, diffuse hepatomegaly shown on coronal t2-weighted image.",antero-posterior (ap) cranial view showing broken distal segment of jailed wire in obtuse marginal branch of left circumflex artery (lcx).,magnetic resonance imaging (mri) showing solitary metastasis in the left frontal lobe,endoscopically visible tumor around the percutaneous endoscopic gastrostomy tube bumper.,45-year-old man with bochdalek hernia. sagittal t1-weighted mri shows the herniated portion of liver.
"a 29 year-old man with severe respiratory distress and hypotension in the setting of persistent left hemithorax pain following a cough attack. the cxr demonstrates loss of pulmonary vascular markings on the left side, leading to its remarkable left hemithoracic translucency associated with left pulmonary total collapse and rightward mediastinal shift. tension pneumothorax. available at: http://chestatlas.com/gallery/main.php?g2_itemid=534. reproduced with permission from chest atlas",α1-antitrypsin deficiency associated panlobular emphysema. there is a generalized decreased attenuation of the lung parenchyma and a striking paucity of pulmonary vasculature. bronchiectasis are more prominent in the left lower lobe and coexist with patchy consolidation (probable infection). it is worth keeping in mind that panlobular emphysema shows an increased prevalence and extent of long lines in comparison to patients with obliterative bronchiolitis.,,mri brain (coronal section) showing right sided temporopareital infarction,"upright abdominal x-ray of case 2, a male 64-year-old japanese. excess air and niveau in the intestine were revealed.","mri t2-weighted sequence, coronal plane image. congenital scoliosis from hemivertebra patient # 21. mri demonstrates convex zone deficiency in the vertebral body growth plate.",coronary angiographic appearance of the right coronary artery.,magnetic resonance imaging post-gadolinium showing an extra-axial heterogenous mass compressing on the right temporal lobe.,preoperative computed tomographic scan; cystic tumor (3) in projection to the right liver.,enhanced liver ct image in the portal venous phase. the arrow shows the density change of the geographic liver section.
chest x-ray taken at the scene revealing air density occupied in heart chambers (arrow) and hepatic vasculatures and splenic vein (arrow heads) indicating a massive air embolism.,consolidated lung 'floating' in a massive pleural effusion. the pleural effusion (pl) is abundant enough to be compressive and the lung (c) is seen consolidated and floating in the pleural effusion.,,mri of the brain showing abnormal gadolinium enhancement in the swollen left oculomotor nerve (solid arrow). the right oculomotor nerve is indicated by a dotted arrow.,abdominal ct scan showing right-sided rsh.,coronal t1-weighted mp-rage sequence on 1.5-t mr scan outlining the hippocampus (h) and amygdala (a) by manual volumetry.,control angiography after embolization with microparticles (300–500 μ) and proximal microcoil (arrows) occlusion of the anastomosis with the left inferior prostatic artery,axial postcontrast ct image through the thyroid gland demonstrates enlarged thyroid lobes that contain heterogeneously enhancing nodules bilaterally.,preoprerative mri. magnetic resonance imaging of the right knee showed a 2.5 cm tumor located in the dorsal area of the posterior cruciate ligament (arrow). the tumor exhibited a fluctuating high and low signal intensity with low signal septa around the tumor on t2-weighted images.,"at the time of initial diagnosis, liver parenchyma was patent and showed no secondary signs of metastasis."
ct scan of the chest obtained on day 1 showing diffuse bilateral alveolar infiltrate.,high-resolution transverse ct image shows extensive patchy ground-glass opacity throughout both lungs.,,axial flair mri brain showing left temporal gyral hyper intensities (arrow) in addition to arachnoid cyst,a coronal view from the abdominal ct scan suggesting ileo-colic intussusception. there is a round cystic lesion at the lead point (arrow).,coronal section mri showing right basilar enhancement.,"axial 3d time of flight mri of the head, noting the unusual origin of the left internal carotid artery (arrow) from the contralateral cavernous segment of the right internal carotid artery. note the course of the left internal carotid artery through the floor of the sella turcica.",diffusion-weighted magnetic resonance imaging demonstrating an acute ischemic infarct within the mid left temporal lobe.,a small quantity of free fluid (red arrow) is seen during eus-fna of a peritumoral lymph node (not clearly seen); the puncturing needle is also shown (yellow arrow). eus-fna = endoscopic ultrasound-guided fine-needle aspiration,"computed tomography abdomen showing a large 20 cm heterogenous liver lesion, which demonstrates peripheral, nodular centripetal discontinuous delayed enhancement"
chest x-ray after the procedure.,coronal section of computed tomography thorax repeated after completion of 6 months of treatment showing reduced number and size of cysts in the lung,,brain mri of patient aiv-5 showing cerebellar atrophy.,scanner abdominal avec reconstruction coronale: une masse kystique de densité liquidienne homogène présentant une paroi propre non rehaussée après injection de produit de contraste de la loge surrénalienne droite,"36 year-old female (patient #16) with levoscoliosis, status post surgical correction. a. sagittal fse t2 without fat saturation demonstrates significant susceptibility artifact from surgical instrumentation. b. coronal mdct with contrast (soft tissue window) demonstrating the scoliotic curvature and lateral meningoceles at multiple levels (arrows). c. sagittal mdct with contrast (bone window) shows the bony arthrodesis from surgical fusion (arrow). d. 3d mdct with translucent display demonstrating the position and integrity of the surgical construct and the bony arthrodesis (arrows).",pre-operative ct scan showing a pelvis mass (m) adjacent to the femoral artery (arrow) and femoral vein (arrowhead).,cat scan showing saccular dilatation of biliary tree mostly in the right lobe of the liver,"extension of the tumor into the rvot showing the tumor filling the right ventricle in parasternal short axis view; rvot, right ventricular outflow tract",ct image of the lesion in the liver on day 9 of life.
hrct showing extensive and severe bilateral ground glass opacities. there is mild pleural thickening seen within the major fissures bilaterally and scattered lucencies seen within the chest wall extending to the bilateral axilla.,lung ultrasound demonstrating v line (echogenic posterior line extending above the diaphragm). this confirms pleural fluid (right lung base).,,"the second brain magnetic resonance imaging (mri) done on the fourth hospital day shows accentuation of leptomeningeal contrast enhancement along the sulci of both cerebral hemisphere in t1-weighted image, findings suggestive of meningitis.",abdominal ct. abdominal ct reveals a 3.7 cm diameter slightly enhanced tumor (arrrow) in the right spermatic cord.,"a 57-year-old man after wrist trauma, nmr examination performed one month after trauma. 3d/t2w/ffe*sequence, coronal plane: fracture within the distal aspect of the radius.","celiac arteriogram showing the small pseudoaneurysm of the distal third of the splenic artery, obscured by the tortuousity of the splenic artery.",classical asymmetrical temporal lobe t2 hyperintensity in a patient with herpes simplex virus type-1 encephalitis.,t1-weighted mr images with gadolinium. nonhomogeneously enhancing right parietal tumor,previous ct (contrast enhanced) showing liver metastases (yellow arrow) smaller at that time and no perihepatic fluid.
computed tomography scan of chest showing moderate right pleural effusion and mediastinal mass.,collapsed left lung with herniation of the stomach and bowel in the left hemithorax with marked mediastinal shift to the right,,the 3d t1-weighted mri image of the pilocarpine-treated brain. yellowish white areas (arrowheads) correspond to high t1 signals.,the intra-abdominal free air is shown (arrow).,t1-weighted coronal mr image with contrast of the same patient,"out-of-plane view (short axis) of the needle entering the subclavian vein with the acoustic shadow in an infraclavicular approach. n, needle; sca, subclavian artery; scv, subclavian vein.","contrast-enhanced ct shows a small, oval, low-attenuating nodule in the right lobe of the liver adjacent to the anterior branch of the right portal vein (arrow).",recurrent intramedullary diffuse spinal cord astrocytoma 6 months after resection in a 42-year-old female suffering from lower extremity weakness and unsteady walk for 5 months.the recurrent intramedullary tumor nodule (arrow) is shown on the mri scan.,"cut surface of enlarged area of the liver. neoplastic mass and centrally located abscess within the neoplastic mass are observed. the mass is red to dark red-colored and multi-lobulated with abundant blood exudate. the abscess contains caseous materials. bar, 10 cm."
