mri + t1-weighted,mri + t2-weighted,mri,x-ray,computed tomography
,,recurrence of utrosct in the second patient (mri).,post-treatment panoramic x-ray.,"computed tomography showing a 14 cm, well-circumscribed, enhanced round tumor with solid and cystic components arising in the right adrenal gland."
,,73-year-old female with spindle-cell sarcoma. initial mri study. axial t1 fat-suppressed contrast-enhanced image of the left knee shows a tangle of vessels in the subcutaneous soft tissues posterior to the neurovascular bundle and medial head of gastrocnemius musculature. eextension over proximal calf (arrow) with marked enhancement on the post contrast images (arrow) was erroneously thought to represent a venous angioma. note intermediate signal intensity of the lesion as well as connections with the popliteal vein (open arrow).,standing antero posterior thoracic-abdominal x-ray,"cerebral computed tomography scan without contrast, axial section, bone window. presence of multiple fractures in the vault of the skull, on the right and on the left"
,,saggital section of mri,clinical findings of the upper left first molar. no inflammation was seen and x-ray photography appeared normal,abdominal computed tomography (ct). ct scan showed lower density of liver parenchyma and splenomegaly.
,,axial mri revealed an extradural mass in the left posterolateral spinal canal at the l5-s1 level,chest x-rays after the endobronchial resection of the tumor showing re-expansion of the left lung.,"axial computed tomography (ct) scan (portal venous phase) shows thrombosed left portal vein (arrow). multiple small periportal vessels, which represent dilated collateral veins, which is the so-called cavernous transformation. left portal vein thrombosis caused transient hepatic attenuation differences (thad) between the left and right lobes of the liver."
,,sagittal mri demonstrating serpentine areas of bone infarcts in the distal tibia and talus and on of cuneiform bone.,postoperative chest x-ray. blue arrow: residual lead fragment.,computed tomography demonstrating gas in the left gluteal muscles and left psoas.
,,mri-scan (axial section) demonstrating a contrast enhancing lesion in the right internal auditory canal.,"chest x-ray for patient 2, a 30-year-old woman, showing a globular heart with oligemic lung fields.","follow-up enhanced computed tomography (ct) image, taken 3 months after the operation, reveals a minimally enhancing 2-cm mass in left submandibular space compressing the submandibular gland."
,,a representative mri picture of the ivd samples.12 patients with lumbar discs of degeneration grade iii (mean age of 49 years: range 34–61 years) were involved in this study. a representative mri exhibits a herniated lumbar disc (l4/l5) of degeneration grade iii (ddg iii) with nerve root compression that remained unresponsive to non-operative treatment for six weeks.,"patient’s barium meal, x-ray, showing pressure effects on the esophagus (arrow).","computed tomography imaging demonstrating thickening of the whole bladder wall and spotty high-density lesions of the bladder surface, with clotting blood. a reduction in bladder capacity was suspected."
,,postoperative mri at 14 months showing complete resection of the right gluteus medius and minimus muscles and reconstruction with functional latissimus dorsi.,chest x-ray showing widespread lung hyperinflation and severe cardiomegaly.,"computed tomography scan. a cyst-like mass attached to small intestine and located at right abdomen, inferior to liver and anterior to kidney."
,,"mri appearance of the suspected neuroma (arrows).abbreviation: mri, magnetic resonance imaging.",plain x-ray abdomen in a case of type i congenital pouch colon showing a massive gas shadow on left side of the abdomen. note normal sacrum,computed tomography of the prostate – perfusion option. parametric map of blood volume. focal lesion of pathologically high blood volume in the right peripheral zone
,,mri image of cervical and thoracic spine. there is an intradural extra-medullary mass with an extraspinal component at c7-d2 level causing cord compression and there is a paraspinal component at this level which shows some degree of enhancement. intervening intervertebral discs are normal.,plain x-ray of abdomen showing an abnormal position of the lower end of the left jj stent,"computed tomography of the thorax of a holstein-friesian calf with a bronchogenic cyst. computed tomography of the thorax of a 5-½-month-old female holstein-friesian calf with a bronchogenic cyst imaged in dorsal recumbency, transverse view caudal to the heart (image tilted 180°). a regular 2 cm thick wall (arrows) encircles the solitary cavity containing fluid (*) and gas. a multifocal alveolar lung pattern with focal bronchiectasis may be seen in the ventral right and the left caudal lobes. in the dorsal left lung fields, air bronchograms are present within diffuse and mild patchy pulmonary opacities. r right; l left; p dorsal; a ventral."
,,a single coronal image of a proton density (pd) magnetic resonance imaging (mri) sequence demonstrating the measuring technique for the tibial eminence volume. the measuring technique was applied to all coronal slices of the tibial eminences and summated to generate the volumetric data,chest x-ray ap view showing reticulonodular infiltrates and microcalcifications.,abdominal computed tomography three months after surgery showed multiple metastatic lesions in the liver and ascites.
,,postoperative mri of a 55-year-old male patient revealed an irregularly shaped residual tumor with cs invasion after str (green area).,chest x-ray: clearly defined homogenous opacity with partially calcific wall in the right hemithorax.,"computed tomography scan of the brain axial sections show parallel lateral ventricles, agenesis of corpus callosum and asymmetry of cerebral hemispheres"
,,mri showing a 1.5 × 3.0 cm mass along the lateral margin of the vertebral body. no extension into the neural foramen or spinal canal is demonstrated,x-ray showing spinal cord stimulator system implanted trough thoracic laminectomy,chest computed tomography. a large tumor (10 cm in diameter) is seen in the anterior aspect of the right upper lobe.
,,mri of the cervical region showing the right thyroid lobe with a nodular structure and right cervical lymph nodes highly suspicious for malignancy,x-ray ap view showing nail in situ,"axial computed tomography image showing ill-defined enhancing soft tissue mass filling nasopharynx (black arrow), bilateral nasal cavity with deviation of nasal septum (red arrow) and erosion of right medial pterygoid plate (black dashed arrow)"
,,sagittal section mri scan of pelvis and perineum showing mass extending into buttock,postero-anterior (pa) chest x-ray.,"computed tomography scan showing tip of odontoid process above the mcrae's line, suggesting basilar invagination. there is occipitalisation of atlas."
,,mri of the tumour invading the underlying paraspinal muscles and lumbar vertebrae extending into the spinal canal.,lateral neck x-ray of case 2 reveals emphysema in the prevertebral space,computed tomography angiography of the posterior cranial circulation. no abnormal blood vessels were seen.
,,mri of the head. the apparent pituitary macroadenoma,chest x-ray showing fusion of 3rd and 4th ribs on left side,computed tomography image: parietal thickness of the esophagus
,,mri of the patient’s shoulder. note extensive soft tissue swelling. there is no evidence of necrotizing fasciitis or abscess.,chest x-ray showing bilateral clavicular hypoplasia.,cerebral computed tomography scan of two lesions in the right cerebellar hemisphere and the vermis (arrow). the lesions are spontaneously hypodense.
,,postoperative brain mri shows the bilateral vas transposed from the brainstem.,x-rays have been carried out at the end of the healing period. all implants exhibiting radiographic evidence of osseointegration were loaded,computed tomography: abdominal computed tomography revealed an extensively dilated small bowel and a closed loop of small bowel in the mesosigmoid. the arrows indicate vessels of the mesosigmoid.
,,"32-year-old man with history of wilson's disease who presents with slurred speech. fluid-attenuated inversion recovery sequence, axial mri image shows presence of hyperintensities involving dorsal midbrain.",erect chest x-ray showing free air under the right diaphragm.,plain computed tomography of the pelvis shows polypoidal mass within the urinary bladder with dense foci of calcification on the left side (arrow).
,,"a 13-year-3-month-old female with fope zones at both proximal tibiae. findings: coronal proton density fat-saturated image from follow-up of right knee mri obtained 6 months after initial mri shows decrease in the marrow edema surrounding the osteochondral lesion of the medial femoral condyle. the osteochondral lesion (arrow) is otherwise unchanged in appearance. technique: coronal pd fat-saturated mri (tr = 2,472.4, te = 30), st = 2.5 mm, spacing = 3.3 mm, fov = 14 cm, and matrix = 312 × 244.",chest x-ray showing elevation of the right hemidiaphragm.,computed tomography scan showing marked focal thickening of the wall of the inferior aspect of the left renal pelvis extending into the lower pole calyx and into the pelviureteric junction resulting in left hydronephrosis.
,,day 465. mri showed reduced enhancement and edema of l3–4.,immediate postoperative lateral x-ray showing a 3.12 mm atlanto-dens interval and a c1 canal diameter of 15.13 mm. iliac bone block with wiring between the occiput and c2 is also visible.,computed tomography shows homogeneous cystic mass at the costosternal junction.
,,"stimulated ovary without torsion diagnosed as torsion by mri. axial t2 weighted mr image of the pelvis in a 31-year-old woman with abdominal pain and leukocytosis at 5 weeks 6 days gestational age demonstrates marked asymmetric enlargement of the right ovary (arrow) with increased right ovarian stromal signal intensity. prospective and retrospective mri diagnosis was ovarian torsion, but further history (not available at the time of image interpretation) revealed known asymmetric enlargement of the right ovary since the time of egg retrieval",x-ray of the hands showed lytic changes in fingers,"axial post-contrast ct image in a patient with cirrhosis.notes: the right liver (−) is reduced in size, while the lateral left liver segments (+) are increased in volume. there is diffuse heterogeneity of the hepatic parenchyma, nodularity of the liver surface (white arrow), and enlargement of the fissures (white arrowhead). these findings are in keeping with cirrhosis. findings of portal hypertension are also noted: splenomegaly (*), collateral vessels (dark arrows), reduced portal vein caliber (dark arrowhead), and ascites (a). residual material from arterial embolization of a small hepatocarcinoma is present in the right liver (curved white arrow).abbreviation: ct, computed tomography."
,,osteoid osteoma. stir coronal mri shows the nidus (white arrow) along with marrow edema (black arrow),"chest x-ray showing pulmonary infiltrates, pneumothorax, pneumomediastinum",computed tomography scan showing a low attenuated osteolytic mass with sharp margins (white arrow).
,,sagittal t2 weighted mri image.,abdominal x-ray showing the presence of air-fluid levels,computed tomography angiogram of pulmonary arteries showing no pulmonary embolus
,,brain mri shows symmetrical normal-sized hippocampi.,plain x-ray of the thigh showing no significant soft tissue abnormalities.,computed tomography of the abdomen reveals irregular thickening of the gastric wall (arrow).
,,case 1- mri defines the margins of the tumor.,lateral x-ray showing kyphosis of cervical spine.,computed tomography scan showing a 20-mm distal ureteral stone.
,,axial t2 mri image of proximal thigh showing enlarged and bright right sciatic nerve,day 4 post op chest x-ray showed a large volume of free gas under both hemi-diaphragms with multiple abnormally dilated loops of large and small bowel-features consistent with perforation of a hollow viscus.,"contrast-enhanced computed tomography exhibiting nonhomogeneous enhancing lesion destroying walls of maxillary and ethmoid sinus, upper right alveolus and extending into masticator space and infratemporal region"
,,brain mri abnormalities in an anti-mog antibody-positive patient. axial t2-flair (fluid-attenuated inversion recovery) brain mri of a mog-seropositive nmo patient 31 years after disease manifestation with combined optic neuritis and transverse myelitis showed multiple abnormalities fulfilling barkhof criteria and resembling multiple sclerosis lesions.,chest x-ray made during current presentation,computed tomography showing the mass with its osseous content in the infrapatellar region.
,,"mri showed a high-intensity signal for the vx2 tumor (white arrow) on diffusion images, allowing clear visualization of the boundary. no necrosis with low-intensity signals was detected for the vx2 tumor prior to treatment.",chest x-ray shows a bullet adjacent to the right cardiac border and bilateral pleural effusion.,and 2 show the extensive leukoencephalopathy. figure 1 shows the cranial computed tomography with bilateral and symmetrical hypodensities involving white and grey matter.
,,cystadenofibroma of the ovary/partial borderline tumor in a pregnant patient (week 22 of gestation) with a typical morphology for a borderline tumor on mri. the patient was operated during pregnancy (week 24 of gestation).,x-ray of chest on day of injury. black arrows: subcutaneous emphysema. white arrows: pneumomediastinum,axial computed tomography chest lung window in 2006 showed few thin-walled cysts in both lungs suggestive of lymphangioleiomyomatosis
,,axial mri view showing the synovitic thickened peroneus longus.,x-ray of left elbow and forearm bones (anterior-posterior view) showing multiple destructive lytic lesions with periosteal reaction and soft tissue swelling at the proximal end of the radius,"preoperative computed tomography showing a defect between the right coronary sinus and the right atrium (arrow). la left atrium, ra right atrium, rv right ventricle"
,,mri showing pelvic kidney in relation to bladder,post-operative x-rays of both clavicles after lcp external fixation revealed stable fixation and nearly anatomical reduction of right clavicle fracture.,"pre-operative coronal computed tomography (ct) image of our patient, a 70-year-old man with marked thoracolumbar scoliosis, degenerative osteoarthritic changes characterized by high-grade osteophytes, endplate sclerosis and significant inter-vertebral disc space collapse."
,,"sagittal view of mri showing the trachea, obstruction and the mass",measurement of bone height gained from the postoperative panoramic x-rays. calibration of the x-rays based on the placed implant.panoramic x-rays. calibration of the x-rays based on the placed implant.,contrast-enhanced computed tomography abdomen shows contained rupture of liver hydatid cyst with “floating membrane sign” (arrow) produced by detachment of the germinal membrane of the endocyst
,,t2 weighted coronal mri scan showing abnormal increased signal in the distal supraspinatus tendon which appears to be thinned and compressed with no definite tear or tendon retraction seen,a follow-up chest x-ray on the third postoperative day showed loculated right pleural effusion and progressive lung infiltration that involved both lung fields.,enhancement computed tomography scan of chest reveals a 2.3 × 2.3 cm lobulated tumor in the left lung.
,,"mri brain on hospital day 36, with punctate enhancing lesions and one notable ring-enhancing lesion (t1 post contrast).","case 1: 3-month-old male child presenting with symptoms of pallor, abdominal distension, petechial rashes, and recurrent respiratory infections later diagnosed with congenital leukemia. x-ray of dorsolumbar spine shows osteopenia with prominent vertebral end plates (arrows).","multiplanar reconstruction contrast-enhanced computed tomography (ct) in the coronal view shows the tumor invading to the right cervical region of the patient, and a large cutaneous pocket adjacent to the right carotid artery is revealed (arrow)"
,,postcontrast t1-w axial mri image showing complete excision of tumor in follow-up,preoperative chest x-ray of a 45-year-old female patient with diabetes who had dyspnea for 22 months shows that left diaphragm ascended up to infrahiler level.,a 15-years old girl. computed tomography image of the head. the arrow points a cystoid lesion in the submental region
,,"33-year-old patient, woman, mri and mri spectroscopy suggest the presence of a change in a form of teratoma.",initial chest x-ray revealed right upper lobe alveolar infiltration.,computed tomography scan of metastatic lesion in the liver taken in 2002.
,,mri coronal section at 6 weeks follows up. resolution of inflammatory fluid.,chest x-ray on admission: reticular shadows with ggo,computed tomography of intra-abdominal cysts. arrow points to bronchogenic cyst arising from the stomach wall (coronal).
,,mri axial view showing the hypointense cyst in the third ventricle extending into lateral ventricles. the eccentric scolex is clearly visible (arrow),chest x-ray after whole lung lavage,hepatocellular carcinoma located in dorsal sector of the liver in computed tomography image.
,,initial brain mri t1-wi axial plane of a patient with ephedrone encephalopathy: symmetrically high intensity signal in globi pallidi (globus pallidus to frontal lobe white matter signal intensity ratio is ca. 152%).,a plastic 5f stent placed into the main pancreatic duct on a plain abdominal x-ray.,"computed tomography with contrast showing the 4th thoracic vertebra with bony destruction, and an enhanced lesion."
,,mri of the left thigh showing loculated fluid collection (↔) contiguous with the gluteus medius and pyriformis muscles.,x-ray of participant stumps with computerized preparation for the osseointergration procedure.,chest computed tomography (ct) scan.
,,magnetic resonance imaging (mri) in coronal section showing image of the tumor together with intense edema in the lateral distal region of the clavicle.,x-ray confirming thin radiopaque foreign body which projects over the anteromedial cortex of the mid left humeral diaphysis.,chest computed tomography (ct) on admission showing an 8-cm-sized tumor in the anterior mediastinum.
,,mri after completion of therapy showing resolution of the previously described lesion.,"pelvic x-ray, showing a subcapital fracture of the right collum of patient 2, 3.5 months after thermal ablation",definition of postoperative hydrocephalus using the modified frontal horn index (a/b) on postoperative follow-up brain computed tomography scans.
,,the follow-up mri examination with contrast after 14 months post operation. bone remodelling visible in th5 and th6 behind the damaged intervertebral disc as well as postinflammatory lesions within the th4 and th7 vertebrae. spinal cord showing lesions at the level of th4–th5,chest x-ray after 12 h of management showing clearance of haziness,computed tomography chest showing primary mediastinal seminoma with involvement of major vessels; especially invasion of superior vena cava
,,mri axial thoracic spine t2 weightedunfilled arrow shows hematoma. filled arrow shows edema in the thoracic spinal cord.,"panoramic x-ray. notice the presence of a right maxillary radiopacity and the absence of teeth 1, 2, 3, 4, and 5, all with adequate bone healing except the 3 area.",preoperative computed tomography venous phase.
,,brain mri showed enhancement in bilateral hippocampus.,"initial dental x-ray (arrow, lesion with root-like radiopacity).",sagittal ct of the thoracic spine sagittal computed tomography (ct) of the thoracic spine demonstrating a lytic bone lesion primarily involving the t7 vertebra with some extension cranially into t6 and mild caudal extension into the superior endplate of t8.
,,axial view of mri lumbar spine. t1 image with contrast depicting edema and erosive changes within vertebral body consistent with diskitis and osteomyelitis. also figure demonstrates abscess extending into ventral epidural space.,"preoperative x-ray of the skull, anteroposterior view, showing the bullet (b) lying in a sagittal plane passing through the middle of the left maxillary antrum. note the multiple fracture fragments (f) of the mandible on the left side.",axial contrast-enhanced cervical computed tomography scan after 3 cycles of cetuximab plus platinum-based chemotherapy. the scan shows a marked reduction in the tumor. a large hypodense area with air bubbles and peripheral enhancing corresponding to necrosis is seen in the masticator space. a partial tumor remission was considered.
,,"mri: giant interosseous ganglion of the scaphoid with cortical bone disrupture, lunate collapse, no severe chondropathy fossa lunata, and capitate.",final followup x-ray showing insertion of two unicortical screws,"a follow-up brain computed tomography scan, obtained after 27 days, showing the disappearance of the pneumocephalus."
,,pre-operative mri brain (p+c) of 32 m having left sided giant vestibular schwannomas (hannover stage 4b),x-ray at 16 months; complete bony union and hypertrophy of the rib is noted,"computed tomography (ct) of the abdomen (coronal reformation). l = liver, gb = gallbladder, d = duodenum, s = spleen, b = blood. several calcified stones are appreciated outside the gallbladder (solid arrows in figure 2b). notice also progredient hyperdense fluids surrounding liver and spleen (b), altogether making the diagnosis of free gallbladder perforation obvious."
,,"post-transplant mri of abdomen demonstrates patent ovarian (blue arrow) and renal vein (yellow arrow). note the ovarian vein dilation to compensate for the increase in renal blood flow. (for interpretation of the references to colour in this figure legend, the reader is referred to the web version of this article.)",x-rays pelvic anteroposterior view showing united bilateral anterior column acetabulum fractures and united bilateral sacral fractures.,preoperative contrast enhanced computed tomography chest showing left lower lobe lung bronchiectasis
,,spine mri performed after gadolinium intravenous contrast shows epidural posterior abscess from the third cervical (c3) to the first lumbar vertebra (l1). medullary compression is seen without medullary suffering. not well shown in this figure is abscess around the cement (fifth and sixth) thoracic vertebra,x-ray chest showing left pleural based mass.,"an abdominal computed tomography scan demonstrated multi-cystic involvements of the right kidney, which measured 126 × 88 × 84 mm and extended into the pelvis. no further cystic involvement of the contralateral kidney or other abdominal organs was detected."
,,mri brain plain. arrows show hemiatrophy and reduction in the volume of brain parenchyma and thinning of grey matter,posttapping chest-x-ray showing a unilateral left pleural effusion and the mass labeled (a),multidetector computed tomography (mdct) image of cancer of the hilar bile duct reconstructed along the left and right confluence of the hepatic duct. it suggests invasion as well as thickening of the hepatic duct as far as the anterior and posterior segment branching
,,"pre-treatment neck mri showing splaying of ica, eca on the right side by cbp where as the vessels are pushed anteriorly on the left side by vagal paraganglioma.",x-ray on presentation demonstrating subcostal location of patient’s subfascially placed baclofen pump,computed tomography performed on 21.09.2012 – frontal projection
,,mri brain showing hypoplastic pituitary with visible stalk and absent splenium of corpus callosum,"x-ray 1, pre-op.",coronal computed tomography scan of the temporal bone showing air within the basal turn of the cochlea (arrow).
,,brain mri flair bilateral parieto-occipital hyperintese lesions.,preoperative x-ray image with migrated amplatzer duct occluder shape in the left pulmonary artery area. note that there is marked disproportion between excessive pulmonary bed on the right and the lack of vasculature seen in the left lung,computed tomography shows diffuse gastric wall thickening suggesting borrmann-4 gastric cancer.
,,"t1 w mri of brain, axial images showing solid cystic lesion, solid component being iso to hyper intense",x-ray showing new hemiarthroplasty of the hip joint with a modular neck and long stem.,"contrast-enhanced chest computed tomography revealed a solid lung tumor in the left lower lobe, and it invaded the inferior pulmonary vein to the left atrium."
,,magnetic resonance imaging (mri) appearance of a focal chondral defect (white arrow) in the glenohumeral joint.,case 1. 9. panoramic x-ray view one year after prosthetic loading.,computed tomography angiography (cta) shows a dilated superior ophthalmic vein in both eyes (white arrows).
,,"fetal mri of a 26-year-old primigravid woman with gestational diabetes shows sacral agenesis (smaller arrow) and a blunt-ending, club-shaped conus (larger arrow).","chest x-ray on admission to icu, showing right consolidation and pleural effusion.",a coronal computed tomography shows osteolytic lesion in the lower third of right femur.
,,mri cholangiopancreatography: wall regular thickening of the main bile duct with distal stenoses.,chest x-ray showing dense right-sided consolidation,axial computed tomography abdomen showing hyperdense giant enterolith (black arrow) in ileal bowel loop separate from the urinary bladder (white arrow)
,,axial mri of the brain showing diffuse lesions mimicking secondary tumours.,lateral view of x-ray of right foot showing no underlying bony involvement,"computed tomography scan of the brain axial sections show agenesis of corpus callosum, asymmetry of cerebral hemispheres and pachygyria"
,,73-year-old female with spindle-cell sarcoma. initial mri study. axial pdw fat-suppressed t1 fat-suppressed contrast-enhanced image of the left knee shows a tangle of vessels in the subcutaneous soft tissues posterior to the neurovascular bundle and medial head of gastrocnemius musculature. extension over proximal calf (arrow) with marked enhancement on the postcontrast images (arrow) was erroneously thought to represent a venous angioma. note intermediate increased signal intensity of the lesion as well as connections with the popliteal vein (open arrow).,periapical x-ray at baseline showing the tooth fracture and decay of the first right premolar.,computed tomography angiography with three-dimensional reconstruction showing an aneurysm of proper hepatic artery.
,,sagittal view of the peritoneal reflection (red line) by rectal mri.,x-ray 06-2011.,non contrast computed tomography (ct) scan of the abdomen showing a bulky pancreas (white arrow) with peri-pancreatic fat stranding (black arrow) suggestive of acute pancreatitis.
,,mri brain showing increased t2 flair signal in brainstem.,chest x-ray immediately showing bilateral extensive infiltrates.,computed tomography scan. gastric mass arising from medial wall of stomach.
,,"diffusion weighted mri of head, 2003.",x-ray of the upper gastrointestinal tract with contrast. esophageal stricture,a computed tomography angiogram demonstrated a type a aortic dissection extending from the aortic root and involving the entire thoracic aorta (white arrow).
,,"mri brain flair image axial view showing round shaped mass in the third ventricle, with enlarged both lateral ventricles shown by white arrows.",x-ray at 5 months showing acceptable c2-c3 alignment with c2-c3 anterior fusion,computed tomography scan (coronal section) showing a plastic box in the bladder.
,,"mri ls spine t1w axial (contrast) showing widening of cord with homogenously enhancing lesion, no subarachnoid space seen around the cord.","66 y.o. male had sigmoid resection for carcinoma @ 3:00 pm. he was fed immediately for 17 hours via a double lumen, nasoduodenal catheter @ 100 kcal/hr. at 8:00 am the tube was removed, and baso4 swallowed. serial x-rays indicate normal motility. 12:00 noon – 4 hour motility study, 21 hours after surgery.","second computed tomography scan, coronal view. the pneumolabyrinth extended into the vestibule and the superior and lateral canals (arrows) but did not extend into the cochlea (arrowhead) and might have explained both the conservation of the auditory function up to the 2 weeks after injury as well as the initial recuperation of hearing function after the surgery."
,,mri image detailing a 6.6 × 5 cm cystic mass originating from segment 4b of the liver (arrow).,pelvis x-rays showing left iliac wing reconstruction with tibial autografts and stabilization with screw-rod type osteosynthesis,non-contrast enhanced abdominal computed tomography showed both enlarged kidney and no hydronephrosis
,,t2 mri of the pelvis. coronal reconstruction demonstrates the location of the periclitoral mass (asterisk) in relationship to the bladder (b). note leftward displacement of the clitoral bodies (arrow).,chest x-ray demonstrated a characteristic diffuse sand-like micronodulations throughout both lung fields,computed tomography of the chest demonstrated sclerotic lesions of the medial end of the clavicle and manubrium.
,,mri of the brain with region of restricted diffusion consistent with infarct in the territory of the left middle cerebral artery.,x-ray of the upper digestive tract with water-soluble contrast performed the day after the operation showed no fistula tract.,contrast-enhanced computed tomography scan of abdomen of the patient showing right adrenal pheochromocytoma (arrow)
,,"mri of the abdomen and pelvis showing 4 fluid collections, the largest of which is 4 cm in diameter. the most superficial abscess is eroding into the fascial planes of the peritoneum with associated soft tissue edema of abdominal wall.",x-ray pelvis (anteroposterior view) of same patient taken on first postoperative day showing open reduction and internal fixation of left hip with reconstruction plate. trochanteric osteotomy was performed for better visualization of fracture site and was closed by two cannulated screws.,computed tomography showing a partially calcified ileocecal mass.
,,"six month old girl with known ga1. t2 weighted mri (tr 3944, te 80, flip angle 90°, slice thickness 3 mm) shows widening of the sylvian fissures (asterisk) and a high signal intensity of the basal ganglia (arrow)",chest x-ray (lateral view): re-accumulation of massive left sided pleural effusion.,coronal computed tomography shows a superior orbital mass with bony destruction and brain extended.
,,"a 13-year-3-month-old female with fope zones at both proximal tibiae. findings: axial proton density fat-saturated image at the level of the proximal tibia physis shows the periphyseal edema located at the anterocentral aspect of the central physis (asterisks). technique: axial pd fat-saturated mri (tr = 2,843.2, te = 30), st = 3 mm, spacing = 3.3 mm, fov = 15 cm, and matrix = 376 × 297.",x-ray shows multiple loops of dilated small bowel.with air- fluid levels.,"abdominal computed tomography revealed a hypervascular tumor, measuring 9 × 8.5 cm, in the upper pole of the left kidney (arrow)."
,,"mri brain, day 5 in icu","anteroposterior x-ray view of pelvis shows right femoral neck fracture. x ray, after falling of patient.","nine year old female with pulmonary recurrence of wilms tumor. a) axial computed tomography (ct) image obtained just before initiation of therapy shows large solid pulmonary nodules and mass in the right lower lobe (arrows). b) at the end of course 1, the nodules and mass became cavitary with numerous cysts scattered throughout them. a small right pneumothorax had developed (arrow). c) coronal ct image obtained approximately during course 3 of therapy shows right tension pneumothorax (straight black arrow) causing shift of mediastinal structures into the left chest. the right lower lobe is now largely replaced by cysts (straight white arrow). a large solid mass is present in the left upper lobe (curved arrow)."
,,recurrent intramedullary diffuse spinal cord astrocytoma 6 months after resection in a 42-year-old female suffering from lower extremity weakness and unsteady walk for 5 months.the recurrent intramedullary tumor nodule (arrow) is shown on the mri scan.,plain anteroposterior x-ray after intramedullary fixation on the first postoperative day,"computed tomography of the chest with pneumo-hydrothorax and mediastinal air, where the black arrowhead indicates the hydrothorax, the white arrow indicates the pneumothorax, and the black arrow indicates the mediastinal air."
,,sagittal mri image of the infraorbital lesion.,"chest x-ray of a patient diagnosed with combined pulmonary fibrosis and emphysema demonstrating bilateral interstitial pattern, predominantly right sided, with reticulonodular infiltrates in the lung bases and subpleural region, and a reduction of lung density in upper lung fields, mainly on the left.",computed tomography scan of 55-year-old man with nonmucinous carcinoma in rectum.notes: computed tomography scan shows mass-forming rectal wall thickening with heterogeneous enhancement (arrow).
,,axial t1 postgadolinium enhanced mri showing the lesion of the left trigeminal nerve at the time of its original diagnosis as trigeminal schwannoma.,immediate postoperative chest x-ray,left superior semicircular canal dehiscence as seen on axial temporal bone computed tomography.
,,pre-operative mri showed a 1.5-cm fungating lesion in the mid-rectum (arrow) but no evidence of mesorectal fat extension,x-ray one year after implantation of reverse shoulder arthroplasty with healed greater tuberosity (a.-p.-view).,coronal non-contrast computed tomography of the chest demonstrates paraspinal mass on either side (marked as white arrow). spleen is not visualized in splenic fossa (marked as asterisk). patient had undergone splenectomy earlier.
,,mri of thorax; the lesion is hyperintens in t2 weighted images.,plain skull x-ray film showing an irregular lytic lesion of the right parietal lobe.,computed tomography showed an ampullary mass with 13 mm suggestive of ampullary adenoma.
,,"postoperative lateral mri of a female patient, 12 months after surgery.",x-ray of left rib cage which may show partial disappearance of the 6th left lateral and anterior rib arch.,axial computed tomography scan of the chest and abdomen demonstrating plate atelectasis in the right upper lobe presumably as a consequence of the longstanding right-sided anterior diaphragmatic hernia of morgagni which displaces the heart to the left.
,,mri of right foot with and without contrast: there is abnormal marrow signal intensity throughout the distal phalanx of the great toe. this is t1 hypointense with enhancement and stir hyperintense. findings compatible with acute osteomyelitis.,ap pelvis x-ray showing displaced fractures of both acetabuli with intrapelvic protrusion of both femoral heads.,computed tomography of the chest showing a gas-containing septic embolus in the right lower lobe (white arrow).
,,axial t2 flair mrihyperintense lesions within the right lentiform nucleus concerning for glioma.,chest x-ray showed consolidation of the upper two thirds of the left lung.,neck and thorax computed tomography
,,axial t2/flair mri images reveal hyperintense lesions involving dorsal medulla (4a),skull x-ray showing the nasogastric tube in the nasopharynx.,computed tomography scan of the abdomen demonstrating gas (arrows) in the right paraspinous muscles.
,,brain mri of patient 2. flair images of the brain of patient 2 showing multiple periventricular cystic lesions in addition to attenuated signal in the subcortical white matter,x-ray pelvis showing the entangled guide wire with formation of loop and knot,contrast-enhanced abdominal computed tomography transverse image showing round calcified mass with areas of air (arrows).
,,neuroimaging of pituitary masst1 mri with contrast showing a 2 cm ring-enhancing suprasellar mass with effacement of the optic chiasm.,neck x-ray showing tracheal lumen compression in infra cricoid region,noncontrast computed tomography axial sections demonstrate absence of left submandibular gland in the second case. white arrow shows the right submandibular gland.
,,"mri t2 flair image demonstrating findings of posterior reversible encephalopathy syndrome involving bilateral parietal-occipital lobes, left greater than right (arrows).",x-ray chest pa view dated 28.10.13 showing resolution of lesions as compared to figure 1b,computed tomography scan of the abdomen showing heterogeneous mass lesion in the liver
,,"the mri of the brain showing a cortical-based mass lesion at the medial aspect of the right temporal lobe, involving the amygdala and part of the head of the hippocampus","x-ray, postoperative: spongiose plastic surgery and internal fixation (dhs).","transverse view of the lower lung field. chest computed tomography (ct) done post intubation shows ground-glass opacities, blebs confined to the right upper lung apex, and diffuse ground-glass attenuation, blebs in the marginal areas, airspace consolidation, and fibrosis in the bilateral upper and lower lung fields."
,,cardiac mri showing marked dilatation of the ascending aorta and dilated left ventricle.,"x-ray chest, pa view, after phenytoin withdrawal, showing marked radiological improvement",pelvic computed tomography. arrows indicate prostatic calculi.
